Sample	Unique Reads	Duplicate Reads
SA-PE-001_1	1156735.0	703895.0
SA-PE-001_2	1166214.0	685740.0
SA-PE-001_3	1145420.0	687971.0
SA-PE-001_4	1041103.0	616248.0
SA-PE-001_5	922221.0	524145.0
SA-PE-001_6	943778.0	515183.0
SA-PE-001_7	1112022.0	745851.0
SA-PE-002_1	960270.0	427126.0
SA-PE-002_2	959363.0	417691.0
SA-PE-002_3	953376.0	407019.0
SA-PE-002_4	873818.0	372020.0
SA-PE-002_5	758476.0	320504.0
SA-PE-002_6	766361.0	305823.0
SA-PE-002_7	935300.0	463377.0
SA-PE-003_1	935211.0	538722.0
SA-PE-003_2	938558.0	527808.0
SA-PE-003_3	937276.0	524770.0
SA-PE-003_4	861101.0	479308.0
SA-PE-003_5	745915.0	410214.0
SA-PE-003_6	761734.0	397820.0
SA-PE-003_7	907266.0	577019.0
SA-PE-004_1	1188988.0	635536.0
SA-PE-004_2	1200823.0	615603.0
SA-PE-004_3	1186969.0	619707.0
SA-PE-004_4	1085871.0	567171.0
SA-PE-004_5	953810.0	476513.0
SA-PE-004_6	972816.0	460872.0
SA-PE-004_7	1157831.0	685708.0
SA-PE-005_1	845833.0	476406.0
SA-PE-005_2	850380.0	469383.0
SA-PE-005_3	849532.0	462271.0
SA-PE-005_4	770937.0	413785.0
SA-PE-005_5	667896.0	355030.0
SA-PE-005_6	678491.0	352509.0
SA-PE-005_7	817951.0	504343.0
SA-PE-006_1	981027.0	541388.0
SA-PE-006_2	986287.0	532523.0
SA-PE-006_3	979787.0	527731.0
SA-PE-006_4	898096.0	479465.0
SA-PE-006_5	786151.0	409986.0
SA-PE-006_6	801195.0	395735.0
SA-PE-006_7	955666.0	588811.0
SA-PE-007_1	1085605.0	898555.0
SA-PE-007_2	1088949.0	876528.0
SA-PE-007_3	1067933.0	874154.0
SA-PE-007_4	1001019.0	794825.0
SA-PE-007_5	872829.0	675631.0
SA-PE-007_6	887711.0	654912.0
SA-PE-007_7	1048580.0	951182.0
SA-PE-008_1	1102374.0	782426.0
SA-PE-008_2	1113426.0	767073.0
SA-PE-008_3	1095229.0	761102.0
SA-PE-008_4	1000009.0	686870.0
SA-PE-008_5	877632.0	586684.0
SA-PE-008_6	903257.0	577019.0
SA-PE-008_7	1062950.0	826357.0
SA-PE-009_1	900268.0	486194.0
SA-PE-009_2	900518.0	478715.0
SA-PE-009_3	896810.0	468640.0
SA-PE-009_4	827145.0	424703.0
SA-PE-009_5	719874.0	367170.0
SA-PE-009_6	728689.0	359408.0
SA-PE-009_7	879628.0	526230.0
SA-PE-010_1	906537.0	444494.0
SA-PE-010_2	908460.0	435145.0
SA-PE-010_3	907085.0	425337.0
SA-PE-010_4	828342.0	384507.0
SA-PE-010_5	719375.0	328969.0
SA-PE-010_6	731292.0	322766.0
SA-PE-010_7	887484.0	469707.0
SA-PE-011_1	1309487.0	667766.0
SA-PE-011_2	1305781.0	648913.0
SA-PE-011_3	1286958.0	645974.0
SA-PE-011_4	1188025.0	593398.0
SA-PE-011_5	1049398.0	494244.0
SA-PE-011_6	1063454.0	482216.0
SA-PE-011_7	1281368.0	710748.0
SA-PE-012_1	1040046.0	512016.0
SA-PE-012_2	1049546.0	498404.0
SA-PE-012_3	1038536.0	499757.0
SA-PE-012_4	945110.0	456995.0
SA-PE-012_5	829375.0	385129.0
SA-PE-012_6	835605.0	369662.0
SA-PE-012_7	1012051.0	559492.0
SA-PE-013_1	1154060.0	684504.0
SA-PE-013_2	1158605.0	662906.0
SA-PE-013_3	1138355.0	664823.0
SA-PE-013_4	1045675.0	599925.0
SA-PE-013_5	915624.0	502240.0
SA-PE-013_6	933022.0	494745.0
SA-PE-013_7	1112220.0	730147.0
SA-PE-014_1	1090366.0	567171.0
SA-PE-014_2	1093777.0	543450.0
SA-PE-014_3	1072721.0	541093.0
SA-PE-014_4	985137.0	494191.0
SA-PE-014_5	859976.0	416670.0
SA-PE-014_6	880605.0	401278.0
SA-PE-014_7	1045556.0	606318.0
SA-PE-015_1	1094532.0	595317.0
SA-PE-015_2	1101212.0	574488.0
SA-PE-015_3	1087080.0	570650.0
SA-PE-015_4	993963.0	517154.0
SA-PE-015_5	872075.0	433861.0
SA-PE-015_6	890344.0	422384.0
SA-PE-015_7	1057843.0	637805.0
SA-PE-016_1	943067.0	455851.0
SA-PE-016_2	940834.0	445819.0
SA-PE-016_3	939301.0	441140.0
SA-PE-016_4	860977.0	402372.0
SA-PE-016_5	748315.0	338400.0
SA-PE-016_6	757828.0	330019.0
SA-PE-016_7	917786.0	486415.0
SA-PE-017_1	1356968.0	914939.0
