Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SA-PE-001_1	11966526.0	7148374.0	4818152.0	59.73641807154391
SA-PE-002_1	8920524.0	5325046.0	3595478.0	59.69431840551071
SA-PE-003_1	9542722.0	6078908.0	3463814.0	63.70203386413227
SA-PE-004_1	11808218.0	7324620.0	4483598.0	62.0298507361568
SA-PE-005_1	8514747.0	5551291.0	2963456.0	65.19619432027751
SA-PE-006_1	9863848.0	6096380.0	3767468.0	61.805291403517174
SA-PE-007_1	12778413.0	8376826.0	4401587.0	65.55450978145721
SA-PE-008_1	12142408.0	6894948.0	5247460.0	56.784025046761734
SA-PE-009_1	8963992.0	5612993.0	3350999.0	62.61711300054708
SA-PE-010_1	8699500.0	5457603.0	3241897.0	62.73467440657509
SA-PE-011_1	12727730.0	7714069.0	5013661.0	60.608364570901486
SA-PE-012_1	10031724.0	5995900.0	4035824.0	59.769387594794274
SA-PE-013_1	11796851.0	7421678.0	4375173.0	62.9123653422426
SA-PE-014_1	10598309.0	6468606.0	4129703.0	61.03432160734321
SA-PE-015_1	10848708.0	6649953.0	4198755.0	61.29718856844521
SA-PE-016_1	9008124.0	5226324.0	3781800.0	58.01789584601633
SA-PE-017_1	14659311.0	8930880.0	5728431.0	60.922917864284344
SA-PE-018_1	15247427.0	8956685.0	6290742.0	58.74227172886284
SA-PE-019_1	17978896.0	11108845.0	6870051.0	61.78824884464541
SA-PE-020_1	11378764.0	7423393.0	3955371.0	65.23901014205057
SA-PE-021_1	10201543.0	6472592.0	3728951.0	63.447186371708675
SA-PE-022_1	9723242.0	6193173.0	3530069.0	63.69452699007183
SA-PE-023_1	10593468.0	6540785.0	4052683.0	61.74356688480108
SA-PE-024_1	10349587.0	6763456.0	3586131.0	65.35000865251918
SA-PE-025_1	8840109.0	5471578.0	3368531.0	61.89491554911824
SA-PE-026_1	15084420.0	9230529.0	5853891.0	61.19246878567422
SA-PE-027_1	13650221.0	8838524.0	4811697.0	64.75004324105815
SA-PE-028_1	10267391.0	6535673.0	3731718.0	63.65466163702151
SA-PE-029_1	14003045.0	8631751.0	5371294.0	61.64195716003198
SA-PE-030_1	17412410.0	11011521.0	6400889.0	63.23949987394049
SA-PE-031_1	11356564.0	7158200.0	4198364.0	63.03138871933448
SA-PE-032_1	8183302.0	5147075.0	3036227.0	62.897287671895775
SA-PE-033_1	13047055.0	7013740.0	6033315.0	53.75726552850433
SA-PE-034_1	7888497.0	4845185.0	3043312.0	61.42088917572004
SA-PE-035_1	10451120.0	6392904.0	4058216.0	61.16955886067713
SA-PE-036_1	9253410.0	5728415.0	3524995.0	61.90598925152998
SA-PE-037_1	9387357.0	5990088.0	3397269.0	63.81016509758817
SA-PE-038_1	9996511.0	6117453.0	3879058.0	61.19588124296567
SA-PE-039_1	7014609.0	4512012.0	2502597.0	64.32307203437854
SA-PE-040_1	10076140.0	6146329.0	3929811.0	60.99884479572535
SA-PE-041_1	11421922.0	7063700.0	4358222.0	61.843357011193035
SA-PE-042_1	17345501.0	10337585.0	7007916.0	59.598076757771366
SA-PE-043_1	10019350.0	6541746.0	3477604.0	65.29112167955007
SA-PE-044_1	13410563.0	8798645.0	4611918.0	65.6098107141363
SA-PE-045_1	10814923.0	6820544.0	3994379.0	63.06604309619218
SA-PE-046_1	9418716.0	5813916.0	3604800.0	61.72726728356604
SA-PE-047_1	8174294.0	5052084.0	3122210.0	61.80453015269576
SA-PE-048_1	9951691.0	5764983.0	4186708.0	57.929682503204724
SA-PE-049_1	7963811.0	4836100.0	3127711.0	60.725951432046784
SA-PE-050_1	9415016.0	5770104.0	3644912.0	61.28618368784503
SA-PE-051_1	7898539.0	4700100.0	3198439.0	59.50594154184717
SA-PE-052_1	11482683.0	7102903.0	4379780.0	61.857520581209116
SA-PE-053_1	8116283.0	4867773.0	3248510.0	59.97539760503668
SA-PE-054_1	8132983.0	4944876.0	3188107.0	60.80027463478037
SA-PE-055_1	8849990.0	5138235.0	3711755.0	58.05921814600921
SA-PE-056_1	10602401.0	6204664.0	4397737.0	58.52131040884041
SA-PE-057_1	9385135.0	5552333.0	3832802.0	59.16092842564332
SA-PE-058_1	12447535.0	7676377.0	4771158.0	61.669856722636254
SA-PE-059_1	8581563.0	5178745.0	3402818.0	60.3473399892304
SA-PE-060_1	8641063.0	4549018.0	4092045.0	52.64419435432885
SA-PE-061_1	9825209.0	6008760.0	3816449.0	61.156561656856354
SA-PE-062_1	8462684.0	5097288.0	3365396.0	60.23252197529767
SA-PE-063_1	10016381.0	5278488.0	4737893.0	52.698554497877026
SA-PE-064_1	9514743.0	5949790.0	3564953.0	62.532324835258294
SA-PE-065_1	10510668.0	6332805.0	4177863.0	60.25121333867648
SA-PE-066_1	8676145.0	5338332.0	3337813.0	61.52884720114752
SA-PE-067_1	12366694.0	7520249.0	4846445.0	60.81050440804956
SA-PE-068_1	9652797.0	6037053.0	3615744.0	62.54200725447764
SA-PE-069_1	9328997.0	5872206.0	3456791.0	62.945737896582024
SA-PE-070_1	11242905.0	6829217.0	4413688.0	60.74245935547796
SA-PE-071_1	11760120.0	7059188.0	4700932.0	60.02649632826876
SA-PE-072_1	10699027.0	6602298.0	4096729.0	61.70933113824276
SA-PE-073_1	13179313.0	6962788.0	6216525.0	52.83119082155496
SA-PE-074_1	9582423.0	5642755.0	3939668.0	58.88651544604115
SA-PE-075_1	9890172.0	6198137.0	3692035.0	62.66965832343462
SA-PE-076_1	11040646.0	5847384.0	5193262.0	52.96233571839909
SA-PE-077_1	9010900.0	5597897.0	3413003.0	62.123616952801605
SA-PE-078_1	9777609.0	6092905.0	3684704.0	62.314876776111625
SA-PE-079_1	11860491.0	7319141.0	4541350.0	61.71026983621505
SA-PE-080_1	10217469.0	6474578.0	3742891.0	63.3677283483806
SA-PE-081_1	10005692.0	6110426.0	3895266.0	61.069499241032
SA-PE-082_1	8859833.0	4977124.0	3882709.0	56.17627329995949
SA-PE-083_1	11232073.0	7032940.0	4199133.0	62.61479960110658
SA-PE-084_1	8452258.0	5222358.0	3229900.0	61.78654272030031
SA-PE-085_1	9611329.0	5971279.0	3640050.0	62.12750598798563
SA-PE-086_1	9785206.0	5692037.0	4093169.0	58.16982289386652
SA-PE-087_1	8501671.0	5399613.0	3102058.0	63.51237303819449
SA-PE-088_1	11291080.0	7050366.0	4240714.0	62.44190989701606
SA-PE-089_1	13056965.0	7320186.0	5736779.0	56.06345731952257
SA-PE-090_1	9278850.0	4722992.0	4555858.0	50.90061807228267
SA-PE-091_1	10590087.0	6664758.0	3925329.0	62.93393057110862
SA-PE-092_1	7502652.0	4189334.0	3313318.0	55.83804233489704
SA-PE-093_1	9699959.0	5940435.0	3759524.0	61.241856795477176
SA-PE-094_1	6790771.0	4205946.0	2584825.0	61.936207243625205
SA-PE-095_1	7836468.0	4833063.0	3003405.0	61.673996499443376
SA-PE-096_1	12121025.0	7528704.0	4592321.0	62.11276686583849
