run_accession	fastq_ftp	lane	Sample_ID
ERR458493	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458493/ERR458493.fastq.gz	1	SA-PE-039
ERR458494	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458494/ERR458494.fastq.gz	2	SA-PE-039
ERR458495	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458495/ERR458495.fastq.gz	3	SA-PE-039
ERR458496	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458496/ERR458496.fastq.gz	4	SA-PE-039
ERR458497	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458497/ERR458497.fastq.gz	5	SA-PE-039
ERR458498	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458498/ERR458498.fastq.gz	6	SA-PE-039
ERR458499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458499/ERR458499.fastq.gz	7	SA-PE-039
ERR458500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458500/ERR458500.fastq.gz	1	SA-PE-096
ERR458501	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458501/ERR458501.fastq.gz	2	SA-PE-096
ERR458502	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458502/ERR458502.fastq.gz	3	SA-PE-096
ERR458503	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458503/ERR458503.fastq.gz	4	SA-PE-096
ERR458504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458504/ERR458504.fastq.gz	5	SA-PE-096
ERR458505	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458505/ERR458505.fastq.gz	6	SA-PE-096
ERR458506	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458506/ERR458506.fastq.gz	7	SA-PE-096
ERR458507	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458507/ERR458507.fastq.gz	1	SA-PE-021
ERR458508	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458508/ERR458508.fastq.gz	2	SA-PE-021
ERR458509	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458509/ERR458509.fastq.gz	3	SA-PE-021
ERR458510	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458510/ERR458510.fastq.gz	4	SA-PE-021
ERR458511	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458511/ERR458511.fastq.gz	5	SA-PE-021
ERR458512	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458512/ERR458512.fastq.gz	6	SA-PE-021
ERR458513	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458513/ERR458513.fastq.gz	7	SA-PE-021
ERR458514	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458514/ERR458514.fastq.gz	1	SA-PE-028
ERR458515	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458515/ERR458515.fastq.gz	2	SA-PE-028
ERR458516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458516/ERR458516.fastq.gz	3	SA-PE-028
ERR458517	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458517/ERR458517.fastq.gz	4	SA-PE-028
ERR458518	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458518/ERR458518.fastq.gz	5	SA-PE-028
ERR458519	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458519/ERR458519.fastq.gz	6	SA-PE-028
ERR458520	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458520/ERR458520.fastq.gz	7	SA-PE-028
ERR458521	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458521/ERR458521.fastq.gz	1	SA-PE-011
ERR458522	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458522/ERR458522.fastq.gz	2	SA-PE-011
ERR458523	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458523/ERR458523.fastq.gz	3	SA-PE-011
ERR458524	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458524/ERR458524.fastq.gz	4	SA-PE-011
ERR458525	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458525/ERR458525.fastq.gz	5	SA-PE-011
ERR458526	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458526/ERR458526.fastq.gz	6	SA-PE-011
ERR458527	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458527/ERR458527.fastq.gz	7	SA-PE-011
ERR458528	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458528/ERR458528.fastq.gz	1	SA-PE-082
ERR458529	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458529/ERR458529.fastq.gz	2	SA-PE-082
ERR458530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458530/ERR458530.fastq.gz	3	SA-PE-082
ERR458531	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458531/ERR458531.fastq.gz	4	SA-PE-082
ERR458532	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458532/ERR458532.fastq.gz	5	SA-PE-082
ERR458533	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458533/ERR458533.fastq.gz	6	SA-PE-082
ERR458534	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458534/ERR458534.fastq.gz	7	SA-PE-082
ERR458535	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458535/ERR458535.fastq.gz	1	SA-PE-080
ERR458536	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458536/ERR458536.fastq.gz	2	SA-PE-080
ERR458537	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458537/ERR458537.fastq.gz	3	SA-PE-080
ERR458538	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458538/ERR458538.fastq.gz	4	SA-PE-080
ERR458539	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458539/ERR458539.fastq.gz	5	SA-PE-080
ERR458540	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458540/ERR458540.fastq.gz	6	SA-PE-080
ERR458541	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458541/ERR458541.fastq.gz	7	SA-PE-080
ERR458542	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458542/ERR458542.fastq.gz	1	SA-PE-026
ERR458543	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458543/ERR458543.fastq.gz	2	SA-PE-026
ERR458544	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458544/ERR458544.fastq.gz	3	SA-PE-026
ERR458545	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458545/ERR458545.fastq.gz	4	SA-PE-026
ERR458546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458546/ERR458546.fastq.gz	5	SA-PE-026
ERR458547	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458547/ERR458547.fastq.gz	6	SA-PE-026
ERR458548	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458548/ERR458548.fastq.gz	7	SA-PE-026
ERR458549	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458549/ERR458549.fastq.gz	1	SA-PE-078
ERR458550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458550/ERR458550.fastq.gz	2	SA-PE-078
ERR458551	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458551/ERR458551.fastq.gz	3	SA-PE-078
ERR458552	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458552/ERR458552.fastq.gz	4	SA-PE-078
ERR458553	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458553/ERR458553.fastq.gz	5	SA-PE-078
ERR458554	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458554/ERR458554.fastq.gz	6	SA-PE-078
ERR458555	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458555/ERR458555.fastq.gz	7	SA-PE-078
ERR458556	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458556/ERR458556.fastq.gz	1	SA-PE-004
ERR458557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458557/ERR458557.fastq.gz	2	SA-PE-004
ERR458558	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458558/ERR458558.fastq.gz	3	SA-PE-004
ERR458559	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458559/ERR458559.fastq.gz	4	SA-PE-004
ERR458560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458560/ERR458560.fastq.gz	5	SA-PE-004
ERR458561	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458561/ERR458561.fastq.gz	6	SA-PE-004
ERR458562	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458562/ERR458562.fastq.gz	7	SA-PE-004
ERR458563	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458563/ERR458563.fastq.gz	1	SA-PE-038
ERR458564	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458564/ERR458564.fastq.gz	2	SA-PE-038
ERR458565	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458565/ERR458565.fastq.gz	3	SA-PE-038
ERR458566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458566/ERR458566.fastq.gz	4	SA-PE-038
ERR458567	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458567/ERR458567.fastq.gz	5	SA-PE-038
ERR458568	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458568/ERR458568.fastq.gz	6	SA-PE-038
ERR458569	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458569/ERR458569.fastq.gz	7	SA-PE-038
ERR458570	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458570/ERR458570.fastq.gz	1	SA-PE-001
ERR458571	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458571/ERR458571.fastq.gz	2	SA-PE-001
ERR458572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458572/ERR458572.fastq.gz	3	SA-PE-001
ERR458573	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458573/ERR458573.fastq.gz	4	SA-PE-001
ERR458574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458574/ERR458574.fastq.gz	5	SA-PE-001
ERR458575	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458575/ERR458575.fastq.gz	6	SA-PE-001
ERR458576	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458576/ERR458576.fastq.gz	7	SA-PE-001
ERR458577	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458577/ERR458577.fastq.gz	1	SA-PE-002
ERR458578	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458578/ERR458578.fastq.gz	2	SA-PE-002
ERR458579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458579/ERR458579.fastq.gz	3	SA-PE-002
ERR458580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458580/ERR458580.fastq.gz	4	SA-PE-002
ERR458581	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458581/ERR458581.fastq.gz	5	SA-PE-002
ERR458582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458582/ERR458582.fastq.gz	6	SA-PE-002
ERR458583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458583/ERR458583.fastq.gz	7	SA-PE-002
ERR458584	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458584/ERR458584.fastq.gz	1	SA-PE-059
ERR458585	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458585/ERR458585.fastq.gz	2	SA-PE-059
ERR458586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458586/ERR458586.fastq.gz	3	SA-PE-059
ERR458587	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458587/ERR458587.fastq.gz	4	SA-PE-059
