sample	condition	path
SA-PE-039	wt	../../data/Gierlinski_2015/Aligned/SA-PE-039
SA-PE-096	mu	../../data/Gierlinski_2015/Aligned/SA-PE-096
SA-PE-021	mu	../../data/Gierlinski_2015/Aligned/SA-PE-021
SA-PE-028	mu	../../data/Gierlinski_2015/Aligned/SA-PE-028
SA-PE-011	mu	../../data/Gierlinski_2015/Aligned/SA-PE-011
SA-PE-082	mu	../../data/Gierlinski_2015/Aligned/SA-PE-082
SA-PE-080	mu	../../data/Gierlinski_2015/Aligned/SA-PE-080
SA-PE-026	mu	../../data/Gierlinski_2015/Aligned/SA-PE-026
SA-PE-078	mu	../../data/Gierlinski_2015/Aligned/SA-PE-078
SA-PE-004	mu	../../data/Gierlinski_2015/Aligned/SA-PE-004
SA-PE-038	mu	../../data/Gierlinski_2015/Aligned/SA-PE-038
SA-PE-001	mu	../../data/Gierlinski_2015/Aligned/SA-PE-001
SA-PE-002	mu	../../data/Gierlinski_2015/Aligned/SA-PE-002
SA-PE-059	mu	../../data/Gierlinski_2015/Aligned/SA-PE-059
SA-PE-033	mu	../../data/Gierlinski_2015/Aligned/SA-PE-033
SA-PE-075	mu	../../data/Gierlinski_2015/Aligned/SA-PE-075
SA-PE-072	mu	../../data/Gierlinski_2015/Aligned/SA-PE-072
SA-PE-089	mu	../../data/Gierlinski_2015/Aligned/SA-PE-089
SA-PE-040	mu	../../data/Gierlinski_2015/Aligned/SA-PE-040
SA-PE-084	mu	../../data/Gierlinski_2015/Aligned/SA-PE-084
SA-PE-015	mu	../../data/Gierlinski_2015/Aligned/SA-PE-015
SA-PE-031	mu	../../data/Gierlinski_2015/Aligned/SA-PE-031
SA-PE-053	mu	../../data/Gierlinski_2015/Aligned/SA-PE-053
SA-PE-025	mu	../../data/Gierlinski_2015/Aligned/SA-PE-025
SA-PE-042	mu	../../data/Gierlinski_2015/Aligned/SA-PE-042
SA-PE-081	mu	../../data/Gierlinski_2015/Aligned/SA-PE-081
SA-PE-071	mu	../../data/Gierlinski_2015/Aligned/SA-PE-071
SA-PE-034	mu	../../data/Gierlinski_2015/Aligned/SA-PE-034
SA-PE-074	mu	../../data/Gierlinski_2015/Aligned/SA-PE-074
SA-PE-057	mu	../../data/Gierlinski_2015/Aligned/SA-PE-057
SA-PE-016	mu	../../data/Gierlinski_2015/Aligned/SA-PE-016
SA-PE-077	mu	../../data/Gierlinski_2015/Aligned/SA-PE-077
SA-PE-070	mu	../../data/Gierlinski_2015/Aligned/SA-PE-070
SA-PE-029	mu	../../data/Gierlinski_2015/Aligned/SA-PE-029
SA-PE-014	mu	../../data/Gierlinski_2015/Aligned/SA-PE-014
SA-PE-060	mu	../../data/Gierlinski_2015/Aligned/SA-PE-060
SA-PE-023	mu	../../data/Gierlinski_2015/Aligned/SA-PE-023
SA-PE-046	mu	../../data/Gierlinski_2015/Aligned/SA-PE-046
SA-PE-006	mu	../../data/Gierlinski_2015/Aligned/SA-PE-006
SA-PE-019	mu	../../data/Gierlinski_2015/Aligned/SA-PE-019
SA-PE-012	mu	../../data/Gierlinski_2015/Aligned/SA-PE-012
SA-PE-079	mu	../../data/Gierlinski_2015/Aligned/SA-PE-079
SA-PE-047	mu	../../data/Gierlinski_2015/Aligned/SA-PE-047
SA-PE-073	mu	../../data/Gierlinski_2015/Aligned/SA-PE-073
SA-PE-065	mu	../../data/Gierlinski_2015/Aligned/SA-PE-065
SA-PE-086	mu	../../data/Gierlinski_2015/Aligned/SA-PE-086
SA-PE-035	mu	../../data/Gierlinski_2015/Aligned/SA-PE-035
SA-PE-056	mu	../../data/Gierlinski_2015/Aligned/SA-PE-056
SA-PE-055	mu	../../data/Gierlinski_2015/Aligned/SA-PE-055
SA-PE-050	wt	../../data/Gierlinski_2015/Aligned/SA-PE-050
SA-PE-051	wt	../../data/Gierlinski_2015/Aligned/SA-PE-051
SA-PE-058	wt	../../data/Gierlinski_2015/Aligned/SA-PE-058
SA-PE-093	wt	../../data/Gierlinski_2015/Aligned/SA-PE-093
SA-PE-030	wt	../../data/Gierlinski_2015/Aligned/SA-PE-030
SA-PE-024	wt	../../data/Gierlinski_2015/Aligned/SA-PE-024
SA-PE-020	wt	../../data/Gierlinski_2015/Aligned/SA-PE-020
SA-PE-091	wt	../../data/Gierlinski_2015/Aligned/SA-PE-091
SA-PE-037	wt	../../data/Gierlinski_2015/Aligned/SA-PE-037
SA-PE-054	wt	../../data/Gierlinski_2015/Aligned/SA-PE-054
SA-PE-003	wt	../../data/Gierlinski_2015/Aligned/SA-PE-003
SA-PE-045	wt	../../data/Gierlinski_2015/Aligned/SA-PE-045
SA-PE-052	wt	../../data/Gierlinski_2015/Aligned/SA-PE-052
SA-PE-009	wt	../../data/Gierlinski_2015/Aligned/SA-PE-009
SA-PE-092	wt	../../data/Gierlinski_2015/Aligned/SA-PE-092
SA-PE-066	wt	../../data/Gierlinski_2015/Aligned/SA-PE-066
SA-PE-048	wt	../../data/Gierlinski_2015/Aligned/SA-PE-048
SA-PE-083	wt	../../data/Gierlinski_2015/Aligned/SA-PE-083
SA-PE-090	wt	../../data/Gierlinski_2015/Aligned/SA-PE-090
SA-PE-062	wt	../../data/Gierlinski_2015/Aligned/SA-PE-062
SA-PE-067	wt	../../data/Gierlinski_2015/Aligned/SA-PE-067
SA-PE-036	wt	../../data/Gierlinski_2015/Aligned/SA-PE-036
SA-PE-069	wt	../../data/Gierlinski_2015/Aligned/SA-PE-069
SA-PE-061	wt	../../data/Gierlinski_2015/Aligned/SA-PE-061
SA-PE-008	wt	../../data/Gierlinski_2015/Aligned/SA-PE-008
SA-PE-041	wt	../../data/Gierlinski_2015/Aligned/SA-PE-041
SA-PE-064	wt	../../data/Gierlinski_2015/Aligned/SA-PE-064
SA-PE-068	wt	../../data/Gierlinski_2015/Aligned/SA-PE-068
SA-PE-027	wt	../../data/Gierlinski_2015/Aligned/SA-PE-027
SA-PE-043	wt	../../data/Gierlinski_2015/Aligned/SA-PE-043
SA-PE-095	wt	../../data/Gierlinski_2015/Aligned/SA-PE-095
SA-PE-088	wt	../../data/Gierlinski_2015/Aligned/SA-PE-088
SA-PE-076	wt	../../data/Gierlinski_2015/Aligned/SA-PE-076
