Total	Test_Condition	Iteration	FN	FP	TN	TP	TPR	TNR	PPV	NPV	ACC	BA	F1	MCC
4	Balanced	1	3443	0	2157	206	0.0564538229651959	1	1	0.385178571428571	0.40699276610403	0.528226911482598	0.106874189364462	0.147461191102662
4	Balanced	2	3459	3	2157	190	0.0520690600164429	0.998611111111111	0.984455958549223	0.384081196581197	0.40402823205371	0.525340085563777	0.0989068193649141	0.136665745850493
4	Balanced	3	2963	53	2099	685	0.187774122807018	0.975371747211896	0.928184281842818	0.414658237850652	0.48	0.581572935009457	0.312357501139991	0.236502306870076
4	Balanced	4	3378	0	2155	270	0.0740131578947368	1	1	0.389481294053859	0.417887299672583	0.537006578947368	0.137825421133231	0.169784394199981
4	Balanced	5	3461	0	2159	187	0.0512609649122807	1	1	0.384163701067616	0.403995178233167	0.52563048245614	0.097522816166884	0.14033033172126
4	Balanced	6	2420	7	2153	1229	0.336804604001096	0.996759259259259	0.994336569579288	0.470806910124645	0.582200034429334	0.666781931630178	0.50317297850563	0.393897265870694
4	Balanced	7	3106	2	2162	540	0.148107515085025	0.999075785582255	0.996309963099631	0.410402429764617	0.465060240963855	0.57359165033364	0.257879656160458	0.244665633884384
4	Balanced	8	3338	0	2163	311	0.0852288298163881	1	1	0.393201236138884	0.425671025464556	0.542614414908194	0.157070707070707	0.183063052630711
4	Balanced	9	2804	17	2146	848	0.232201533406353	0.992140545538604	0.980346820809249	0.433535353535354	0.51487532244196	0.612171039472478	0.37547044498561	0.304714928138952
4	Balanced	10	2568	33	2128	1082	0.296438356164384	0.984729291994447	0.970403587443946	0.453151618398637	0.552400619514713	0.640583824079415	0.454144805876181	0.345094220600966
4	Balanced	11	3297	8	2144	349	0.0957213384530993	0.996282527881041	0.977591036414566	0.394045212277155	0.42997585374267	0.54600193316707	0.174369223082688	0.184910712911811
4	Balanced	12	3344	1	2152	304	0.0833333333333333	0.99953553181607	0.99672131147541	0.39155749636099	0.423375280124117	0.541434432574702	0.153807235011384	0.179377323446878
4	Balanced	13	3269	0	2151	380	0.104138120032886	1	1	0.396863468634686	0.436379310344828	0.552069060016443	0.188632414991313	0.203294406055224
4	Balanced	14	3149	5	2138	493	0.135365183964854	0.997666822211853	0.98995983935743	0.404388121808209	0.454796888504754	0.566516003088354	0.238164251207729	0.229043446545757
4	Balanced	15	3428	0	2157	223	0.0610791563955081	1	1	0.386213070725157	0.409779614325069	0.530539578197754	0.115126484254001	0.153588959723058
4	Balanced	16	2807	11	2152	844	0.231169542591071	0.994914470642626	0.987134502923977	0.433958459366808	0.51530787753698	0.613042006616849	0.374611628939192	0.308548840314084
4	Balanced	17	3189	0	2155	458	0.125582670688237	1	1	0.403255988023952	0.450361944157187	0.562791335344119	0.223142509135201	0.225037694502658
4	Balanced	18	2596	41	2121	1053	0.288572211564812	0.981036077705828	0.962522851919561	0.449650201399194	0.546205472379969	0.63480414463532	0.444022770398482	0.333354573673028
4	Balanced	19	2641	34	2118	1006	0.275843158760625	0.984200743494424	0.967307692307692	0.445051481403656	0.538713571305397	0.630021951127525	0.429272455728611	0.327462194249301
4	Balanced	20	3150	0	2153	497	0.136276391554703	1	1	0.40599660569489	0.456896551724138	0.568138195777351	0.239864864864865	0.235218520545379
4	Balanced	21	3605	0	2161	45	0.0123287671232877	1	1	0.374783211932015	0.379624849423507	0.506164383561644	0.0243572395128552	0.0679751053079551
4	Balanced	22	3263	1	2157	385	0.105537280701754	0.999536607970343	0.99740932642487	0.397970479704797	0.437822941784361	0.552536944336049	0.19087754090233	0.20382368295285
4	Balanced	23	3044	1	2163	607	0.166255820323199	0.999537892791128	0.998355263157895	0.415402342999808	0.476354256233878	0.582896856557163	0.285043437426626	0.26191298145411
4	Balanced	24	3486	1	2157	163	0.044669772540422	0.999536607970343	0.99390243902439	0.382243487506645	0.399517823316687	0.522103190255383	0.0854969840020981	0.128949796261201
4	Balanced	25	2507	27	2135	1142	0.312962455467251	0.987511563367253	0.976903336184773	0.459931064196467	0.563930476682155	0.650237009417252	0.474055624740556	0.362294614709786
4	Balanced	26	3299	0	2157	350	0.0959166895039737	1	1	0.395344574780059	0.431794695142956	0.547958344751987	0.175043760940235	0.194730949841722
4	Balanced	27	3109	0	2160	540	0.147985749520417	1	1	0.409944961093187	0.46479600619728	0.573992874760208	0.257818095010742	0.24630471438747
4	Balanced	28	3290	3	2157	360	0.0986301369863014	0.998611111111111	0.991735537190083	0.395997796952451	0.433218588640275	0.548620624048706	0.179416895090954	0.194174337493375
4	Balanced	29	3530	0	2158	117	0.0320811625993968	1	1	0.379395218002813	0.391903531438415	0.516040581299698	0.0621679064824655	0.110324247915777
4	Balanced	30	3385	0	2162	264	0.0723485886544259	1	1	0.389760230755363	0.417484081913612	0.536174294327213	0.134934832609251	0.167924395514094
4	Unbalanced JS	1	2142	66	2099	1508	0.413150684931507	0.969515011547344	0.958068614993647	0.494930440933742	0.620292347377472	0.691332848239425	0.577335375191424	0.416349851976335
4	Unbalanced JS	2	3076	99	2054	559	0.153782668500688	0.954017649790989	0.849544072948328	0.400389863547758	0.451451278507256	0.553900159145839	0.260423945958537	0.164143101914671
4	Unbalanced JS	3	2960	8	2156	690	0.189041095890411	0.99630314232902	0.988538681948424	0.421422986708366	0.489508083935329	0.592672119109716	0.31738730450782	0.275652014642302
4	Unbalanced JS	4	3185	15	2142	449	0.123555310952119	0.993045897079277	0.967672413793103	0.402102496714849	0.447418407874288	0.558300604015698	0.219131283552953	0.207644410627709
4	Unbalanced JS	5	3146	3	2157	502	0.137609649122807	0.998611111111111	0.994059405940594	0.406750895719404	0.457816804407714	0.568110380116959	0.241752949674934	0.233663612917611
4	Unbalanced JS	6	3428	1	2148	204	0.0561674008810573	0.99953466728711	0.995121951219512	0.385222381635581	0.406850025947068	0.527851034084084	0.106333072713057	0.145553996702497
4	Unbalanced JS	7	3053	69	2084	593	0.162643993417444	0.967951695308871	0.895770392749245	0.405684251508663	0.461631315744094	0.565297844363158	0.275301764159703	0.198415414942004
4	Unbalanced JS	8	2625	189	1968	1008	0.277456647398844	0.912378303198887	0.842105263157895	0.428478118876551	0.513989637305699	0.594917475298866	0.417391304347826	0.226641088421928
4	Unbalanced JS	9	2468	75	2080	1177	0.322908093278464	0.965197215777262	0.940095846645367	0.457343887423043	0.561551724137931	0.644052654527863	0.480702470900551	0.338385131787443
4	Unbalanced JS	10	1984	134	2022	1649	0.453894852738783	0.937847866419295	0.924845765563657	0.504742885671493	0.634133701848333	0.695871359579039	0.608936484490399	0.410229480113642
4	Unbalanced JS	11	3363	0	2155	284	0.0778722237455443	1	1	0.390540050743023	0.420372285418821	0.538936111872772	0.144492495548207	0.174391003819168
4	Unbalanced JS	12	3431	2	2157	203	0.0558613098514034	0.999073645206114	0.990243902439024	0.386005726556908	0.407388227170723	0.527467477528759	0.105756707475905	0.143768064810302
4	Unbalanced JS	13	3547	4	2156	102	0.0279528637983009	0.998148148148148	0.962264150943396	0.378046642118183	0.388707178516096	0.513050505973225	0.0543275632490013	0.0942467828374308
4	Unbalanced JS	14	3137	3	2155	499	0.137238723872387	0.998609823911029	0.99402390438247	0.407218442932729	0.458060062133241	0.567924273891708	0.241179313678105	0.233469891403536
4	Unbalanced JS	15	2898	10	2145	752	0.206027397260274	0.995359628770302	0.986876640419947	0.425342058298632	0.499052540913006	0.600693513015288	0.340888485947416	0.288124101402726
4	Unbalanced JS	16	3426	5	2151	209	0.0574965612104539	0.997680890538033	0.976635514018692	0.385691231845078	0.407528924192713	0.527588725874244	0.108599636269161	0.141394011673354
4	Unbalanced JS	17	2576	47	2110	1073	0.294053165250754	0.978210477515067	0.958035714285714	0.450277422108408	0.548225973131244	0.63613182138291	0.449989515621724	0.333419888284729
4	Unbalanced JS	18	3100	9	2153	539	0.148117614729321	0.995837187789084	0.983576642335766	0.409861031791357	0.464057921048095	0.571977401259203	0.257463577740626	0.237985803530948
4	Unbalanced JS	19	2801	25	2136	850	0.232812927964941	0.988431281813975	0.971428571428571	0.432651407737492	0.513764624913971	0.610622104889458	0.37560760053027	0.298998922536648
4	Unbalanced JS	20	2280	272	1863	1334	0.369120088544549	0.872599531615925	0.830635118306351	0.44967414916727	0.556096712471734	0.620859810080237	0.511111111111111	0.260300306686689
4	Unbalanced JS	21	2469	536	1624	1176	0.322633744855967	0.751851851851852	0.686915887850467	0.396774981676032	0.482342807924203	0.537242798353909	0.439051708045548	0.0789541915016393
4	Unbalanced JS	22	3428	1	2155	202	0.0556473829201102	0.999536178107607	0.995073891625616	0.3859931936235	0.407362599377809	0.527591780513859	0.105400469606053	0.145012546886463
4	Unbalanced JS	23	3088	5	2148	555	0.152346966785616	0.997677659080353	0.991071428571429	0.410236822001528	0.466356107660456	0.575012312932985	0.264097073518915	0.245369354543583
4	Unbalanced JS	24	3353	34	2125	290	0.0796047213834752	0.984251968503937	0.895061728395062	0.387915297553852	0.416235780765253	0.531928344943706	0.146206201159566	0.134424611553398
4	Unbalanced JS	25	2391	309	1843	1253	0.343852908891328	0.856412639405205	0.802176696542894	0.435285781766651	0.53416149068323	0.600132774148266	0.481367652708413	0.218072358217438
4	Unbalanced JS	26	3403	1	2157	242	0.0663923182441701	0.999536607970343	0.995884773662551	0.38794964028777	0.413406858521454	0.532964463107257	0.124485596707819	0.15907793924967
4	Unbalanced JS	27	2634	46	2112	1014	0.277960526315789	0.978683966635774	0.956603773584906	0.445006321112516	0.538408542886669	0.628322246475782	0.430756159728122	0.321046755345462
4	Unbalanced JS	28	3036	10	2149	597	0.164327002477291	0.99536822603057	0.983525535420099	0.414464802314368	0.474102209944751	0.579847614253931	0.281603773584906	0.252105450017303
4	Unbalanced JS	29	3418	2	2158	230	0.0630482456140351	0.999074074074074	0.991379310344828	0.387015781922525	0.411157024793388	0.531061159844055	0.118556701030928	0.153319212397677
4	Unbalanced JS	30	3004	29	2128	622	0.1715388858246	0.986555401019935	0.955453149001536	0.414653156664069	0.475531730935501	0.579047143422268	0.290858078092121	0.241891902408636
4	Unbalanced OLS	1	2549	31	2134	1101	0.301643835616438	0.98568129330254	0.972614840989399	0.455690796497971	0.556319862424764	0.643662564459489	0.460476787954831	0.350803324539241
4	Unbalanced OLS	2	3300	69	2084	335	0.0921595598349381	0.967951695308871	0.829207920792079	0.387072808320951	0.417933655839668	0.530055627571905	0.165882644218866	0.114021515909948
4	Unbalanced OLS	3	3178	2	2162	472	0.129315068493151	0.999075785582255	0.9957805907173	0.404868913857678	0.453044375644995	0.564195427037703	0.22890397672163	0.226803289388116
4	Unbalanced OLS	4	3358	2	2155	276	0.0759493670886076	0.999072786277237	0.992805755395683	0.390894249954653	0.419789328268002	0.537511076682922	0.141104294478528	0.169664376484483
