Total	Test_Condition	TPR	FPR	q
4	Balanced	0	0	0
4	Unbalanced JS	0.000714197137321506	0	0
4	Unbalanced OLS	2.75103330157202e-05	0	0
6	Balanced	7.30768975968783e-05	0	0
6	Unbalanced JS	0.000576461334346671	0	0
6	Unbalanced OLS	0	0	0
8	Balanced	7.30769003455983e-05	0	0
8	Unbalanced JS	0.000814382915846772	0	0
8	Unbalanced OLS	0	1.54035736290581e-05	0
10	Balanced	0.000109629123032405	0	0
10	Unbalanced JS	0.000613612225613405	0	0
10	Unbalanced OLS	0	0	0
12	Balanced	0.000210148355932467	0	0
12	Unbalanced JS	0.000503810796166226	0	0
12	Unbalanced OLS	0	0	0
14	Balanced	0.000210105758903611	0	0
14	Unbalanced JS	0.000668092905497025	0	0
14	Unbalanced OLS	0	0	0
16	Balanced	0.000301429970786927	0	0
16	Unbalanced JS	0.000741974678862247	0	0
16	Unbalanced OLS	0	0	0
18	Balanced	0.000484241178423034	0	0
18	Unbalanced JS	0.000604761512689684	0	0
18	Unbalanced OLS	1.83832009023052e-05	0	0
20	Balanced	0.000602892503054226	0	0
20	Unbalanced JS	0.000503806525284565	0	0
20	Unbalanced OLS	0	0	0
22	Balanced	0.000511638489473918	0	0
22	Unbalanced JS	0.000540396538580685	0	0
22	Unbalanced OLS	9.20047842487809e-06	0	0
24	Balanced	0.000612052415957903	0	0
24	Unbalanced JS	0.000494573066845178	0	0
24	Unbalanced OLS	0	0	0
4	Balanced	0.138204983260949	0.00383141007801369	0.01
4	Unbalanced JS	0.186470532555081	0.0310899417387835	0.01
4	Unbalanced OLS	0.126746811101792	0.0159999715544915	0.01
6	Balanced	0.239264336460245	0.0127451925131403	0.01
6	Unbalanced JS	0.205781575212784	0.0140308325642139	0.01
6	Unbalanced OLS	0.160387826892892	0.0081334393100716	0.01
8	Balanced	0.253208971749984	0.0067910578303807	0.01
8	Unbalanced JS	0.163780412090562	0.0294867347773955	0.01
8	Unbalanced OLS	0.129508040528365	0.0231578750958931	0.01
10	Balanced	0.299634579495529	0.0055927638869977	0.01
10	Unbalanced JS	0.174752626987349	0.0169229330175382	0.01
10	Unbalanced OLS	0.139282716792798	0.00983580026841702	0.01
12	Balanced	0.398958617022216	0.0153366482084576	0.01
12	Unbalanced JS	0.156652379504382	0.0174343502472752	0.01
12	Unbalanced OLS	0.127844716842081	0.0114077247026411	0.01
14	Balanced	0.394160871834208	0.010661858420253	0.01
14	Unbalanced JS	0.149852275472065	0.0265660510273498	0.01
14	Unbalanced OLS	0.125959230265721	0.0207548421089822	0.01
16	Balanced	0.441444234913535	0.0131322998856036	0.01
16	Unbalanced JS	0.145208332138452	0.0254523162797525	0.01
16	Unbalanced OLS	0.121597287915893	0.0203876499644605	0.01
18	Balanced	0.495756007309338	0.00970948722627729	0.01
18	Unbalanced JS	0.140254187912957	0.014406633694891	0.01
18	Unbalanced OLS	0.118855918054741	0.012246451501978	0.01
20	Balanced	0.515472757882209	0.0145285970836787	0.01
20	Unbalanced JS	0.123636629957348	0.00785378391517022	0.01
20	Unbalanced OLS	0.104661290010946	0.00552410569710249	0.01
22	Balanced	0.53581528380665	0.0123102038743426	0.01
22	Unbalanced JS	0.153522690886105	0.0186081317879225	0.01
22	Unbalanced OLS	0.132822461678553	0.0156877829884086	0.01
24	Balanced	0.572907675475646	0.0111025604684365	0.01
24	Unbalanced JS	0.14215112824459	0.0120895286921889	0.01
24	Unbalanced OLS	0.120493250616944	0.00745564763137518	0.01
4	Balanced	0.162579200119249	0.00576224171573381	0.02
4	Unbalanced JS	0.214339588122946	0.0401119728439677	0.02
