Total	Test_Condition	PPV	TPR	q
4	Balanced		0	0
4	Unbalanced JS		0.000714197137321506	0
4	Unbalanced OLS		2.75103330157202e-05	0
6	Balanced		7.30768975968783e-05	0
6	Unbalanced JS		0.000576461334346671	0
6	Unbalanced OLS		0	0
8	Balanced		7.30769003455983e-05	0
8	Unbalanced JS		0.000814382915846773	0
8	Unbalanced OLS		0	0
10	Balanced		0.000109629123032405	0
10	Unbalanced JS		0.000613612225613405	0
10	Unbalanced OLS		0	0
12	Balanced		0.000210148355932467	0
12	Unbalanced JS		0.000503810796166226	0
12	Unbalanced OLS		0	0
14	Balanced		0.000210105758903611	0
14	Unbalanced JS		0.000668092905497025	0
14	Unbalanced OLS		0	0
16	Balanced		0.000301429970786927	0
16	Unbalanced JS		0.000741974678862247	0
16	Unbalanced OLS		0	0
18	Balanced		0.000484241178423034	0
18	Unbalanced JS		0.000604761512689684	0
18	Unbalanced OLS		1.83832009023052e-05	0
20	Balanced		0.000602892503054226	0
20	Unbalanced JS		0.000503806525284565	0
20	Unbalanced OLS		0	0
22	Balanced		0.000511638489473918	0
22	Unbalanced JS		0.000540396538580685	0
22	Unbalanced OLS		9.20047842487809e-06	0
24	Balanced		0.000612052415957903	0
24	Unbalanced JS		0.000494573066845178	0
24	Unbalanced OLS		0	0
4	Balanced	0.98978601059016	0.138204983260949	0.01
4	Unbalanced JS	0.942089624750636	0.186470532555081	0.01
4	Unbalanced OLS	0.960762528328423	0.126746811101792	0.01
6	Balanced	0.979509496597298	0.239264336460245	0.01
6	Unbalanced JS	0.975087186390311	0.205781575212784	0.01
6	Unbalanced OLS	0.984068985097119	0.160387826892892	0.01
8	Balanced	0.989679408206068	0.253208971749984	0.01
8	Unbalanced JS	0.956869527466934	0.163780412090562	0.01
8	Unbalanced OLS	0.965093161220729	0.129508040528365	0.01
10	Balanced	0.991536196693266	0.299634579495529	0.01
10	Unbalanced JS	0.966488826006103	0.174752626987349	0.01
10	Unbalanced OLS	0.975340724134822	0.139282716792798	0.01
12	Balanced	0.981103783868518	0.398958617022216	0.01
12	Unbalanced JS	0.965288549073581	0.156652379504382	0.01
12	Unbalanced OLS	0.970268855753333	0.127844716842081	0.01
14	Balanced	0.986583961552452	0.394160871834208	0.01
14	Unbalanced JS	0.955712966992504	0.149852275472065	0.01
14	Unbalanced OLS	0.962625511436499	0.125959230265721	0.01
16	Balanced	0.986716959279103	0.441444234913535	0.01
16	Unbalanced JS	0.956096340301443	0.145208332138452	0.01
16	Unbalanced OLS	0.964094386724917	0.121597287915893	0.01
18	Balanced	0.990745298991386	0.495756007309338	0.01
18	Unbalanced JS	0.976379553836775	0.140254187912957	0.01
18	Unbalanced OLS	0.980798868777546	0.118855918054741	0.01
20	Balanced	0.986498340833854	0.515472757882209	0.01
20	Unbalanced JS	0.979147325186384	0.123636629957348	0.01
20	Unbalanced OLS	0.982959983128598	0.104661290010946	0.01
22	Balanced	0.988283065889259	0.53581528380665	0.01
22	Unbalanced JS	0.970969327153622	0.153522690886105	0.01
22	Unbalanced OLS	0.976419427491022	0.132822461678553	0.01
24	Balanced	0.990226996023501	0.572907675475646	0.01
24	Unbalanced JS	0.967267958448297	0.14215112824459	0.01
24	Unbalanced OLS	0.975446148080555	0.120493250616944	0.01
4	Balanced	0.98678572026016	0.162579200119249	0.02
4	Unbalanced JS	0.934070037169367	0.214339588122946	0.02
4	Unbalanced OLS	0.954477660073283	0.148632168698091	0.02
6	Balanced	0.97394441393872	0.276503699867752	0.02
6	Unbalanced JS	0.969959200067467	0.234978742736265	0.02
6	Unbalanced OLS	0.98000370404729	0.187265618280206	0.02
8	Balanced	0.984972715260652	0.29452938854259	0.02
8	Unbalanced JS	0.95163455253653	0.188156963974277	0.02
8	Unbalanced OLS	0.961175714512396	0.151239296543199	0.02
10	Balanced	0.98762454856017	0.34462934869551	0.02
10	Unbalanced JS	0.960277658192506	0.202806881832252	0.02
10	Unbalanced OLS	0.968923645257159	0.16582035814494	0.02
12	Balanced	0.973611087458676	0.449348258419921	0.02
12	Unbalanced JS	0.960809569402908	0.182722051605858	0.02
12	Unbalanced OLS	0.965565401906082	0.151731086976004	0.02
14	Balanced	0.97998530134542	0.450196115280226	0.02
14	Unbalanced JS	0.948990642159394	0.174057927331108	0.02
14	Unbalanced OLS	0.956952645769216	0.147101073026551	0.02
16	Balanced	0.979660071454568	0.494907065358779	0.02
16	Unbalanced JS	0.951157441296053	0.169423517520171	0.02
16	Unbalanced OLS	0.958753709768687	0.144096867259303	0.02
18	Balanced	0.984797247433436	0.551934272096607	0.02
18	Unbalanced JS	0.972828442050202	0.162118236284404	0.02
18	Unbalanced OLS	0.976849667925244	0.139247230624144	0.02
20	Balanced	0.979687615694342	0.568555989586007	0.02
20	Unbalanced JS	0.976284935060144	0.143542632658208	0.02
20	Unbalanced OLS	0.978981628448116	0.123401470072342	0.02
22	Balanced	0.980685715370893	0.591826259795673	0.02
22	Unbalanced JS	0.966564598285993	0.178529031276429	0.02
22	Unbalanced OLS	0.971519787004362	0.155447343073642	0.02
24	Balanced	0.984222487138327	0.631327487594028	0.02
24	Unbalanced JS	0.95900987699057	0.166041225501837	0.02
24	Unbalanced OLS	0.967948273368533	0.143611226090453	0.02
4	Balanced	0.984695098616849	0.179891222803376	0.03
4	Unbalanced JS	0.929227108308393	0.233797117389343	0.03
4	Unbalanced OLS	0.950353286577806	0.164563124204188	0.03
6	Balanced	0.96974980659062	0.303830306969543	0.03
6	Unbalanced JS	0.96550320168164	0.255955843487409	0.03
6	Unbalanced OLS	0.974752857928351	0.206279832840338	0.03
8	Balanced	0.981258509074456	0.323824837088763	0.03
8	Unbalanced JS	0.947876876368909	0.206552180536771	0.03
8	Unbalanced OLS	0.95818354205085	0.167481269020265	0.03
10	Balanced	0.98333453487454	0.377927823569076	0.03
10	Unbalanced JS	0.955422038033443	0.222822576772116	0.03
