Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SA-PE-001_1	SA-PE-001_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1860630.0	0.0	51.0	43.0	62.168996007183516	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
SA-PE-001_2	SA-PE-001_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1851954.0	0.0	51.0	43.0	62.972028782905355	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SA-PE-001_3	SA-PE-001_3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1833391.0	0.0	51.0	43.0	62.4754755818023	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
SA-PE-001_4	SA-PE-001_4.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1657351.0	0.0	51.0	43.0	62.81725714876018	51.0	pass	pass	fail	pass	fail	pass	warn	pass	warn	warn	pass
SA-PE-001_5	SA-PE-001_5.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1446366.0	0.0	51.0	43.0	63.76122925965985	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SA-PE-001_6	SA-PE-001_6.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1458961.0	0.0	51.0	43.0	64.68834296871768	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
SA-PE-001_7	SA-PE-001_7.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1857873.0	0.0	51.0	43.0	59.854568092740756	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
SA-PE-002_1	SA-PE-002_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1387396.0	0.0	51.0	42.0	69.21382328659337	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-002_2	SA-PE-002_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1377054.0	0.0	51.0	42.0	69.66772512269992	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-002_3	SA-PE-002_3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1360395.0	0.0	51.0	42.0	70.08075771031879	51.0	pass	pass	fail	pass	fail	pass	pass	pass	pass	pass	pass
SA-PE-002_4	SA-PE-002_4.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1245838.0	0.0	51.0	42.0	70.13891500836569	51.0	pass	pass	fail	pass	fail	pass	warn	pass	pass	pass	pass
SA-PE-002_5	SA-PE-002_5.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1078980.0	0.0	51.0	42.0	70.29564293152148	51.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
SA-PE-002_6	SA-PE-002_6.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1072184.0	0.0	51.0	42.0	71.47660191367501	51.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	pass
SA-PE-002_7	SA-PE-002_7.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1398677.0	0.0	51.0	42.0	66.87031802169847	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-003_1	SA-PE-003_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1473933.0	0.0	51.0	43.0	63.449978633926165	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-003_2	SA-PE-003_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1466366.0	0.0	51.0	43.0	64.00570959869849	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-003_3	SA-PE-003_3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1462046.0	0.0	51.0	43.0	64.10708499549325	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-003_4	SA-PE-003_4.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1340409.0	0.0	51.0	43.0	64.24162772164489	51.0	pass	pass	fail	pass	fail	pass	warn	pass	warn	pass	pass
SA-PE-003_5	SA-PE-003_5.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1156129.0	0.0	51.0	43.0	64.51825812325211	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-003_6	SA-PE-003_6.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1159554.0	0.0	51.0	43.0	65.69192180572223	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-003_7	SA-PE-003_7.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1484285.0	0.0	51.0	43.0	61.124718254349986	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-004_1	SA-PE-004_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1824524.0	0.0	51.0	42.0	65.16701510084746	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-004_2	SA-PE-004_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1816426.0	0.0	51.0	42.0	66.10909954219073	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-004_3	SA-PE-004_3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1806676.0	0.0	51.0	42.0	65.69900256613133	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-004_4	SA-PE-004_4.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1653042.0	0.0	51.0	42.0	65.6892446092331	51.0	pass	pass	fail	pass	fail	pass	warn	pass	warn	pass	pass
SA-PE-004_5	SA-PE-004_5.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1430323.0	0.0	51.0	42.0	66.6848717824744	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-004_6	SA-PE-004_6.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1433688.0	0.0	51.0	42.0	67.85405797855259	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-004_7	SA-PE-004_7.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1843539.0	0.0	51.0	42.0	62.804770121077425	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-005_1	SA-PE-005_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1322239.0	0.0	51.0	43.0	63.96974761666041	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-005_2	SA-PE-005_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1319763.0	0.0	51.0	43.0	64.43422805406486	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-005_3	SA-PE-005_3.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1311803.0	0.0	51.0	43.0	64.76061809555745	51.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-005_4	SA-PE-005_4.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1184722.0	0.0	51.0	43.0	65.07318043142601	51.0	pass	pass	fail	pass	fail	pass	warn	pass	warn	pass	pass
SA-PE-005_5	SA-PE-005_5.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1022926.0	0.0	51.0	43.0	65.29262741214175	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
SA-PE-005_6	SA-PE-005_6.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1031000.0	0.0	51.0	43.0	65.80898778869698	51.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	pass
