target_id	ext_gene	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval
ENSG00000133393.13	FOPNL	5	12.3517981235413	3.30351297162373e-86	5.35664628348788e-82
ENSG00000177103.14	DSCAML1	3	10.0024032328417	8.8656667737469e-17	7.1878393368153e-13
ENSG00000211660.3	IGLV2-23	1	5.33016782731366	1.62241898127274e-15	8.76917459377915e-12
ENSG00000275183.1	LENG9	1	3.13076014025443	5.82796157972376e-15	2.36250992538052e-11
ENSG00000160991.16	ORAI2	7	30.5347853611416	1.50393984004718e-13	4.87727690127301e-10
ENSG00000137075.18	RNF38	7	27.6715978465049	2.38006341209429e-13	6.43212137118483e-10
ENSG00000067048.17	DDX3Y	1	3.18326312323864	1.56190937946366e-12	3.6180515125719e-09
ENSG00000175390.14	EIF3F	7	29.8145895597362	1.01069597345478e-11	2.04855440119615e-08
ENSG00000129824.16	RPS4Y1	2	6.07511678533543	1.55767944565686e-11	2.80641913459178e-08
ENSG00000203727.4	SAMD5	1	4.81723882087668	7.95091841701221e-11	1.28924142131853e-07
ENSG00000276710.4	CSPG4P10	1	2.81215321054671	9.46033570368654e-09	1.39453948577525e-05
ENSG00000077782.20	FGFR1	10	24.3981497860396	4.45488246268536e-08	6.01965992770359e-05
ENSG00000175471.19	MCTP1	11	34.3061389129005	1.463654895818e-07	0.00018256280104376
ENSG00000054179.12	ENTPD2	3	9.51618850777291	4.20814179703965e-07	0.000487392994564271
ENSG00000175048.17	ZDHHC14	6	21.5002794850173	4.67399545426849e-07	0.000505258908606424
ENSG00000187775.16	DNAH17	5	20.8155528200359	6.02550248064696e-07	0.000610647017023065
ENSG00000169116.11	PARM1	2	9.02301134878862	7.02911192771055e-07	0.000670453234751921
ENSG00000196126.11	HLA-DRB1	1	5.24695325701446	9.05628557652762e-07	0.000815820392352196
ENSG00000150938.10	CRIM1	2	7.02768187085691	1.12441231286615e-06	0.000959597139638137
ENSG00000256043.3	CTSO	1	3.8690795902929	1.26028305572059e-06	0.00102177448742547
ENSG00000109684.15	CLNK	4	13.3518439186058	1.35631319056578e-06	0.00104726754214401
ENSG00000126016.15	AMOT	2	6.57303544126667	1.57848598064224e-06	0.00116341591709609
ENSG00000074706.13	IPCEF1	9	27.772133783254	2.2483256066452e-06	0.00158506955268486
ENSG00000090104.12	RGS1	6	31.5406071688384	2.97619889203537e-06	0.0020107943764314
ENSG00000103168.16	TAF1C	12	29.3567726929509	3.90021684995793e-06	0.00252968064888272
ENSG00000116741.8	RGS2	2	6.25692813891935	4.7034357498841e-06	0.00293331579555272
ENSG00000149212.11	SESN3	1	4.71914442688418	6.48226849519377e-06	0.00389296235739137
ENSG00000099725.14	PRKY	1	2.99909898937971	9.30284171424107e-06	0.00538734208558639
ENSG00000166197.16	NOLC1	5	26.5949741777556	2.04359799576236e-05	0.0114265315521678
ENSG00000136379.12	ABHD17C	2	5.71108987167509	2.61504486527258e-05	0.0141343174967983
ENSG00000137269.15	LRRC1	3	8.05009055424329	2.94965463591236e-05	0.0154285967488125
ENSG00000151692.15	RNF144A	1	6.1279465533986	3.41534864034034e-05	0.016906029680476
ENSG00000170270.5	GON7	1	3.53683960786725	3.44063508760844e-05	0.016906029680476
ENSG00000244116.3	IGKV2-28	1	3.40738096670303	4.67752754082333e-05	0.0223076791395442
ENSG00000092607.15	TBX15	3	11.97029167097	5.13646750669175e-05	0.0237965201774305
ENSG00000128578.10	STRIP2	2	7.67526211542313	6.13244203742168e-05	0.0276215410102202
ENSG00000171444.18	MCC	2	4.82724257640599	6.6713208655924e-05	0.0292366129285354
ENSG00000125245.12	GPR18	3	5.44040364914307	7.03652407281252e-05	0.0300255889054356
ENSG00000127074.14	RGS13	3	7.38731928553814	7.86609451534658e-05	0.0327048006580371
ENSG00000143153.12	ATP1B1	2	12.9024465278875	0.00013602665418152	0.0551418049388338
ENSG00000141655.17	TNFRSF11A	4	13.0791008155344	0.000172538405339828	0.0682368351850075
ENSG00000198216.12	CACNA1E	5	22.1895318218155	0.000189705142834713	0.0715364858387179
