target_id	ext_gene	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval
ENSG00000099725.14	PRKY	1	3.97723241325875	1.91006478034148e-75	2.50676901772016e-71
ENSG00000114374.13	USP9Y	1	4.05815748589054	4.83509960876866e-53	3.17279236327399e-49
ENSG00000005302.18	MSL3	14	61.724956148706	5.13534027378678e-18	2.24654019177259e-14
ENSG00000173674.11	EIF1AX	2	13.9525964075633	3.53697158294521e-11	1.16048037636433e-07
ENSG00000126012.11	KDM5C	5	28.7813898140619	1.45233380306698e-10	3.81208576629021e-07
ENSG00000241859.7	ANOS2P	1	3.60104125890894	2.03185124459449e-09	4.44433595567635e-06
ENSG00000164749.11	HNF4G	1	3.74921613471258	1.45805841106188e-08	2.73365122668231e-05
ENSG00000183943.5	PRKX	2	11.4635295510641	2.40101573160036e-08	3.93886630769039e-05
ENSG00000198034.11	RPS4X	4	25.4322817038308	5.32734272635829e-08	7.76844954896958e-05
ENSG00000175048.17	ZDHHC14	4	15.4651367742445	1.18521397603066e-07	0.000155547482214264
ENSG00000100557.9	CCDC198	3	10.3099902153907	3.15197668913602e-07	0.000376059473347464
ENSG00000215301.10	DDX3X	15	59.0299159737337	4.65216332940881e-07	0.000508791596126343
ENSG00000175471.19	MCTP1	5	21.7591945177956	8.22011071066382e-07	0.000829851792051938
ENSG00000006757.12	PNPLA4	3	11.6628868335596	1.51864155008196e-06	0.00142076437105641
ENSG00000026508.18	CD44	17	73.0217274727518	1.6238544320212e-06	0.00142076437105641
ENSG00000124225.16	PMEPA1	3	9.22756386606673	2.39787859729598e-06	0.00196685991943203
ENSG00000170579.17	DLGAP1	2	7.22257550323509	4.57087664771676e-06	0.00352871677203734
ENSG00000110446.11	SLC15A3	8	35.2091613875017	6.33461007387058e-06	0.00461863458941542
ENSG00000184014.8	DENND5A	8	29.5249073820275	8.12582023039601e-06	0.00561280340545881
ENSG00000120280.5	CXorf21	1	6.51806945319403	1.006722455967e-05	0.00660611275605547
ENSG00000130021.13	PUDP	2	10.5838339267868	2.1621155368754e-05	0.0135121925266441
ENSG00000162849.16	KIF26B	2	9.70214226318003	2.92883047305514e-05	0.0170021789013622
ENSG00000120093.11	HOXB3	3	9.72086635401094	2.97965646701715e-05	0.0170021789013622
ENSG00000002586.20	CD99	6	29.3721281281362	4.24612732127779e-05	0.0232192395685207
ENSG00000103489.11	XYLT1	1	5.38366531615306	7.46092674691542e-05	0.0391668810506072
ENSG00000169249.12	ZRSR2	2	8.76924955149944	7.9748529642719e-05	0.0402546039627325
ENSG00000160746.12	ANO10	2	9.16631963223885	9.43840932765128e-05	0.045877660746702
ENSG00000167604.14	AD000864.1	7	30.7204168911137	0.000102263365249004	0.0479323001974259
ENSG00000100721.11	AL139020.1	6	29.6853018162699	0.000106567612052257	0.0482273565715113
ENSG00000131398.13	KCNC3	2	7.91528340568833	0.000112818796640245	0.0493544629035527
ENSG00000114480.13	GBE1	4	18.7264122779789	0.00012288072615167	0.0520221500004684
ENSG00000051620.11	HEBP2	2	10.3008035735486	0.000133352299422814	0.0546911118007815
ENSG00000165655.17	ZNF503	1	2.90265028309164	0.000162222888751421	0.0645155512719286
ENSG00000148498.16	PARD3	4	13.979127881336	0.000169668424221419	0.0654920117494676
ENSG00000184371.14	CSF1	2	10.4732512723853	0.000200260398204079	0.0699511071792594
ENSG00000090104.12	RGS1	6	30.9945590474581	0.000203316030191522	0.0699511071792594
ENSG00000076356.7	PLXNA2	1	2.80424635846172	0.000207870556232179	0.0699511071792594
ENSG00000134121.10	CHL1	4	13.534361141289	0.0001997488665976	0.0699511071792594
ENSG00000100979.15	PLTP	4	16.4292164668289	0.000197379498204527	0.0699511071792594
ENSG00000115423.18	DNAH6	1	2.43628092273869	0.000309387712587566	0.0990342521951027
ENSG00000182575.7	NXPH3	2	7.33284348970564	0.000305803851874668	0.0990342521951027
ENSG00000171714.11	ANO5	1	4.97316536893528	0.000329819261171842	0.103060666276649
ENSG00000159216.18	RUNX1	4	14.5758986969848	0.000350070280872596	0.106844706190045
ENSG00000072501.17	SMC1A	5	26.3141713818458	0.000367137494270993	0.109507101700284
ENSG00000160789.20	LMNA	8	44.5436071764144	0.000382490790451224	0.111551314086264
ENSG00000188906.16	LRRK2	4	15.4144447360625	0.000429922979183445	0.122658895191381
ENSG00000203727.4	SAMD5	1	4.63704922179278	0.000479644229958259	0.133932997318557
ENSG00000269404.7	SPIB	6	30.619706490454	0.000539934325650263	0.147627043538209
ENSG00000124942.14	AHNAK	1	8.79449341224492	0.000562554760957059	0.150672830261234
ENSG00000130675.15	MNX1	3	11.1060416401645	0.000575161080757531	0.150968280477237
ENSG00000140835.9	CHST4	2	5.42820055915708	0.000591374097080716	0.152180267648771
ENSG00000133687.16	TMTC1	2	6.70413681408089	0.000666316473486821	0.166070545873705
ENSG00000126561.16	STAT5A	6	30.2013423209745	0.000670659778368361	0.166070545873705
ENSG00000162896.6	PIGR	2	8.87751790655961	0.000698331304147392	0.169720371030192
ENSG00000138771.16	SHROOM3	2	7.36353502987845	0.000731292555766901	0.171003713956686
ENSG00000025039.14	RRAGD	2	13.1549488923971	0.000754214914324691	0.171003713956686
ENSG00000189403.15	HMGB1	7	46.0083941130447	0.000726797868825139	0.171003713956686
ENSG00000131401.11	NAPSB	5	20.7320207040696	0.000755731134523603	0.171003713956686
ENSG00000162433.15	AK4	5	28.6581747243995	0.000785607770451685	0.174037432565447
ENSG00000128578.10	STRIP2	2	7.97324085872871	0.000795660313465925	0.174037432565447
ENSG00000166592.12	RRAD	1	5.06064190583284	0.000978576181350755	0.210538259082743
ENSG00000166147.13	FBN1	3	15.3848004073529	0.00104613970061869	0.221444152111609
ENSG00000121316.11	PLBD1	1	2.87592888803751	0.00106944559814329	0.222784190952898
ENSG00000107954.10	NEURL1	1	3.62031632305663	0.00126818610887012	0.256360274685171
ENSG00000102445.18	RUBCNL	7	30.3492935767134	0.00126969047962025	0.256360274685171
ENSG00000127418.15	FGFRL1	2	7.9574853225175	0.0013147346915215	0.26143300138679
ENSG00000092607.15	TBX15	3	10.4948268760224	0.00139129496126325	0.27114723718245
ENSG00000127533.3	F2RL3	1	4.72159947665365	0.00140490796467591	0.27114723718245
ENSG00000152056.17	AP1S3	3	13.4814498733211	0.00144870918923908	0.275548686950344
ENSG00000164597.13	COG5	3	9.24342698512037	0.00163024534638639	0.297157498971875
ENSG00000077782.20	FGFR1	4	12.2578755818393	0.00162025320110138	0.297157498971875
ENSG00000198053.11	SIRPA	2	7.82868327437845	0.00159098622234989	0.297157498971875
ENSG00000277443.3	MARCKS	1	8.82865121822583	0.00169035575926511	0.303893547734183
ENSG00000147138.2	GPR174	2	8.45887123837439	0.00183381232040129	0.325229093147926
ENSG00000130985.17	UBA1	4	24.7999476491403	0.00187795510564688	0.328617104086795
ENSG00000144724.20	PTPRG	1	3.09094150525087	0.00195828440267702	0.338164796062279
ENSG00000205795.4	CYS1	1	5.48639826092632	0.00205890860261032	0.346424570521255
ENSG00000125844.15	RRBP1	5	25.3467324189659	0.00205660626902221	0.346424570521255
ENSG00000113269.14	RNF130	2	5.14703057336293	0.00208957135770609	0.347133348082718
ENSG00000026025.16	VIM	4	19.9277162838333	0.00212078674099533	0.347915064860285
ENSG00000106772.18	PRUNE2	1	2.26583636304911	0.00217972551391466	0.353169353637234
ENSG00000176788.9	BASP1	2	11.4133256214314	0.0025395884505157	0.378744986642819
ENSG00000119508.18	NR4A3	3	12.0460905663619	0.00251454651880121	0.378744986642819
ENSG00000133805.15	AMPD3	8	30.1462409947643	0.00243014807763248	0.378744986642819
ENSG00000183087.15	GAS6	2	7.06214618911292	0.00239231551455358	0.378744986642819
ENSG00000170291.14	ELP5	6	22.9464766721677	0.00241183455542572	0.378744986642819
ENSG00000100365.15	NCF4	3	12.575959529103	0.00251912678357341	0.378744986642819
ENSG00000128274.17	A4GALT	4	15.4885306996034	0.00248744709013968	0.378744986642819
ENSG00000180828.2	BHLHE22	1	6.64179495474039	0.0025900859821055	0.381935825046658
ENSG00000211967.3	IGHV3-53	1	3.75630968856741	0.00265674626390585	0.387412644083338
ENSG00000183049.12	CAMK1D	3	16.0655199557191	0.00285115684612993	0.41119321372098
ENSG00000215218.4	UBE2QL1	1	4.70333278083951	0.00288436443107411	0.411460856450181
ENSG00000196284.16	SUPT3H	1	3.47614784914266	0.00296441802946316	0.415052720546707
ENSG00000002822.15	MAD1L1	5	23.8990427006199	0.00301006438036041	0.415052720546707
ENSG00000101846.6	STS	1	6.7493651644726	0.00309929645028781	0.415052720546707
ENSG00000197905.9	TEAD4	2	6.83071012025351	0.00300073556880407	0.415052720546707
ENSG00000166501.13	PRKCB	2	15.7333874055903	0.00309078114419077	0.415052720546707
ENSG00000141198.16	TOM1L1	1	2.67197216663945	0.00303922011331479	0.415052720546707
ENSG00000169435.14	RASSF6	3	11.9682275701509	0.00314147971420058	0.41645232090069
ENSG00000129195.16	PIMREG	4	14.4680449329962	0.00318146952271388	0.41753606016097
ENSG00000153283.12	CD96	3	9.71367711998406	0.00322567939271749	0.419146696534894
ENSG00000053747.16	LAMA3	1	2.4817357731694	0.00327785133902335	0.421750205621004
ENSG00000118263.15	KLF7	3	12.3235205660732	0.00338611934318606	0.430609458095259
ENSG00000137571.11	SLCO5A1	3	14.0874182703516	0.00341232731194048	0.430609458095259
ENSG00000141655.17	TNFRSF11A	2	8.3278677637777	0.00345170715945656	0.431430521530552
ENSG00000107263.18	RAPGEF1	5	30.3652766109165	0.00354956579971533	0.439476429768528
ENSG00000166165.13	CKB	1	6.42517599302745	0.00359537334727485	0.44098766177229
ENSG00000148935.11	GAS2	3	9.98889786014835	0.0036328679968563	0.441460736951316
ENSG00000160683.4	CXCR5	1	5.96247014930053	0.0036996038367284	0.44544587846994
ENSG00000114757.19	PEX5L	2	6.04609131893997	0.00374156021755983	0.446402148138683
ENSG00000134532.17	SOX5	1	2.7147212278789	0.0038400087223205	0.451695817704039
ENSG00000120833.14	SOCS2	6	19.8912753880164	0.00385476467409725	0.451695817704039
ENSG00000135638.13	EMX1	3	11.3164872195396	0.00416830665966719	0.484113775234268
ENSG00000167414.4	GNG8	1	3.74815472466139	0.00438600475133546	0.504929178566022
ENSG00000121690.11	DEPDC7	1	4.25511168968524	0.00452899796223221	0.516857123968134
ENSG00000168994.13	PXDC1	3	9.2688848024982	0.00470645041436459	0.532478062397593
ENSG00000164647.9	STEAP1	1	3.78668967660201	0.00484031342917853	0.535580911144321
ENSG00000099290.17	WASHC2A	5	22.2052294862945	0.00481758535918177	0.535580911144321
ENSG00000256594.8	AC010186.2	2	9.11057730928033	0.00485630359845887	0.535580911144321
ENSG00000182742.6	HOXB4	1	5.23924112540486	0.00517361427551768	0.561956599237034
ENSG00000088882.8	CPXM1	1	6.79058639846054	0.00522391840192915	0.561956599237034
ENSG00000161888.11	SPC24	3	14.7644036433638	0.00521763938453624	0.561956599237034
ENSG00000198286.9	CARD11	3	14.7291033713345	0.00534410332770366	0.567829936073249
ENSG00000050344.9	NFE2L3	2	11.941593000316	0.00536504968554426	0.567829936073249
ENSG00000074706.13	IPCEF1	4	16.4649676900738	0.00542344775649423	0.569418626849843
ENSG00000184368.16	MAP7D2	3	11.4824597147455	0.00549517373056646	0.572370317777415
ENSG00000174946.6	GPR171	1	2.33142596596186	0.00560901839685986	0.579628011341644
ENSG00000137959.16	IFI44L	9	50.7871088470715	0.00574593206959893	0.584608782935286
ENSG00000221955.10	SLC12A8	8	30.9687268982814	0.00579085201017885	0.584608782935286
ENSG00000124635.8	HIST1H2BJ	3	10.8850250445361	0.00577682764293549	0.584608782935286
ENSG00000196421.8	C20orf204	5	18.9582184989159	0.00583688568493206	0.584757921595789
ENSG00000058866.15	DGKG	1	4.29910011692397	0.00591591506093245	0.588185373179375
ENSG00000108091.11	CCDC6	1	7.75020751054729	0.00603202451407788	0.595220223479385
ENSG00000197903.7	HIST1H2BK	1	6.46305852271268	0.00613747908651078	0.601106533816176
ENSG00000169213.7	RAB3B	1	3.99052788060334	0.00624984242369609	0.603109793886673
ENSG00000169895.6	SYAP1	2	9.92909136718032	0.00624903810386399	0.603109793886673
ENSG00000111732.11	AICDA	4	19.9050109770098	0.00630283073212002	0.603783580498855
ENSG00000163814.8	CDCP1	1	4.07926013638843	0.00648483242898685	0.60764148989907
ENSG00000138823.13	MTTP	1	3.86045231069249	0.0065283031145816	0.60764148989907
ENSG00000228668.1	TRGV5P	1	2.90961329202741	0.00641420982679676	0.60764148989907
ENSG00000100612.14	DHRS7	6	26.9169079579519	0.00649588638410471	0.60764148989907
ENSG00000015475.18	BID	7	31.4682081754863	0.00659973674623246	0.609964401813766
ENSG00000125869.10	LAMP5	1	4.92736177872074	0.00667413647047631	0.612527042227491
ENSG00000183044.12	ABAT	3	10.1220231194596	0.00672545674500466	0.612950655010008
ENSG00000169129.15	AFAP1L2	2	6.87965328992995	0.00682053272430134	0.617328768784351
ENSG00000109436.8	TBC1D9	1	4.76795149533635	0.00688309769086449	0.618724480102093
ENSG00000112378.12	PERP	1	4.42028504872466	0.00708607082795023	0.628362118554182
ENSG00000154065.17	ANKRD29	2	6.39185759471125	0.00708253526480379	0.628362118554182
ENSG00000107771.17	CCSER2	3	14.526448161689	0.00746355594456017	0.65739401487522
ENSG00000167693.17	NXN	1	2.94668605374326	0.00778017093359436	0.680713088883282
ENSG00000133401.16	PDZD2	1	3.46562494364876	0.00799970234214844	0.695285387671232
ENSG00000173085.14	COQ2	2	7.48355113526592	0.00806436466047466	0.695658552334887
ENSG00000229676.3	ZNF492	1	3.27366782766123	0.00811000902981086	0.695658552334887
ENSG00000166446.15	CDYL2	1	4.06987799943501	0.00818292990920439	0.697355663171418
ENSG00000155254.13	MARVELD1	1	3.76532352363144	0.00886818661422401	0.750877942742425
ENSG00000135697.10	BCO1	1	2.64895152289473	0.0089307732797515	0.751329926432428
ENSG00000105642.15	KCNN1	2	8.86270941431149	0.0090380371287208	0.755510823422496
ENSG00000162552.15	WNT4	1	3.34025668112644	0.00912890000540538	0.758276478930001
ENSG00000163637.13	PRICKLE2	2	5.82242323494215	0.00924930296715217	0.758674075880657
ENSG00000178764.8	ZHX2	1	6.33286518302476	0.00924568169729001	0.758674075880657
ENSG00000168405.17	CMAHP	6	21.7758029386724	0.00956208994291227	0.777791074962566
ENSG00000110427.15	KIAA1549L	1	4.9552638618308	0.00961179325339037	0.777791074962566
ENSG00000139793.18	MBNL2	3	12.3855345808275	0.00966016040985205	0.777791074962566
ENSG00000117394.21	SLC2A1	3	16.649773176654	0.010239519195844	0.802102415667535
