Result	Total	Test_Condition	Iteration	N
FN	4	Balanced	1	3443
FP	4	Balanced	1	0
TN	4	Balanced	1	2157
TP	4	Balanced	1	206
FN	4	Balanced	2	3459
FP	4	Balanced	2	3
TN	4	Balanced	2	2157
TP	4	Balanced	2	190
FN	4	Balanced	3	2963
FP	4	Balanced	3	53
TN	4	Balanced	3	2099
TP	4	Balanced	3	685
FN	4	Balanced	4	3378
FP	4	Balanced	4	0
TN	4	Balanced	4	2155
TP	4	Balanced	4	270
FN	4	Balanced	5	3461
FP	4	Balanced	5	0
TN	4	Balanced	5	2159
TP	4	Balanced	5	187
FN	4	Balanced	6	2420
FP	4	Balanced	6	7
TN	4	Balanced	6	2153
TP	4	Balanced	6	1229
FN	4	Balanced	7	3106
FP	4	Balanced	7	2
TN	4	Balanced	7	2162
TP	4	Balanced	7	540
FN	4	Balanced	8	3338
FP	4	Balanced	8	0
TN	4	Balanced	8	2163
TP	4	Balanced	8	311
FN	4	Balanced	9	2804
FP	4	Balanced	9	17
TN	4	Balanced	9	2146
TP	4	Balanced	9	848
FN	4	Balanced	10	2568
FP	4	Balanced	10	33
TN	4	Balanced	10	2128
TP	4	Balanced	10	1082
FN	4	Balanced	11	3297
FP	4	Balanced	11	8
TN	4	Balanced	11	2144
TP	4	Balanced	11	349
FN	4	Balanced	12	3344
FP	4	Balanced	12	1
TN	4	Balanced	12	2152
TP	4	Balanced	12	304
FN	4	Balanced	13	3269
FP	4	Balanced	13	0
TN	4	Balanced	13	2151
TP	4	Balanced	13	380
FN	4	Balanced	14	3149
FP	4	Balanced	14	5
TN	4	Balanced	14	2138
TP	4	Balanced	14	493
FN	4	Balanced	15	3428
FP	4	Balanced	15	0
TN	4	Balanced	15	2157
TP	4	Balanced	15	223
FN	4	Balanced	16	2807
FP	4	Balanced	16	11
TN	4	Balanced	16	2152
TP	4	Balanced	16	844
FN	4	Balanced	17	3189
FP	4	Balanced	17	0
TN	4	Balanced	17	2155
TP	4	Balanced	17	458
FN	4	Balanced	18	2596
FP	4	Balanced	18	41
TN	4	Balanced	18	2121
TP	4	Balanced	18	1053
FN	4	Balanced	19	2641
FP	4	Balanced	19	34
TN	4	Balanced	19	2118
TP	4	Balanced	19	1006
FN	4	Balanced	20	3150
FP	4	Balanced	20	0
TN	4	Balanced	20	2153
TP	4	Balanced	20	497
FN	4	Balanced	21	3605
FP	4	Balanced	21	0
TN	4	Balanced	21	2161
TP	4	Balanced	21	45
FN	4	Balanced	22	3263
FP	4	Balanced	22	1
TN	4	Balanced	22	2157
TP	4	Balanced	22	385
FN	4	Balanced	23	3044
FP	4	Balanced	23	1
TN	4	Balanced	23	2163
TP	4	Balanced	23	607
FN	4	Balanced	24	3486
FP	4	Balanced	24	1
TN	4	Balanced	24	2157
TP	4	Balanced	24	163
FN	4	Balanced	25	2507
FP	4	Balanced	25	27
TN	4	Balanced	25	2135
TP	4	Balanced	25	1142
FN	4	Balanced	26	3299
FP	4	Balanced	26	0
TN	4	Balanced	26	2157
TP	4	Balanced	26	350
FN	4	Balanced	27	3109
FP	4	Balanced	27	0
TN	4	Balanced	27	2160
TP	4	Balanced	27	540
FN	4	Balanced	28	3290
FP	4	Balanced	28	3
TN	4	Balanced	28	2157
TP	4	Balanced	28	360
FN	4	Balanced	29	3530
FP	4	Balanced	29	0
TN	4	Balanced	29	2158
TP	4	Balanced	29	117
FN	4	Balanced	30	3385
FP	4	Balanced	30	0
TN	4	Balanced	30	2162
TP	4	Balanced	30	264
FN	4	Unbalanced JS	1	2142
FP	4	Unbalanced JS	1	66
TN	4	Unbalanced JS	1	2099
TP	4	Unbalanced JS	1	1508
FN	4	Unbalanced JS	2	3076
FP	4	Unbalanced JS	2	99
TN	4	Unbalanced JS	2	2054
TP	4	Unbalanced JS	2	559
FN	4	Unbalanced JS	3	2960
FP	4	Unbalanced JS	3	8
TN	4	Unbalanced JS	3	2156
TP	4	Unbalanced JS	3	690
FN	4	Unbalanced JS	4	3185
FP	4	Unbalanced JS	4	15
TN	4	Unbalanced JS	4	2142
TP	4	Unbalanced JS	4	449
FN	4	Unbalanced JS	5	3146
FP	4	Unbalanced JS	5	3
TN	4	Unbalanced JS	5	2157
TP	4	Unbalanced JS	5	502
FN	4	Unbalanced JS	6	3428
FP	4	Unbalanced JS	6	1
TN	4	Unbalanced JS	6	2148
TP	4	Unbalanced JS	6	204
FN	4	Unbalanced JS	7	3053
FP	4	Unbalanced JS	7	69
TN	4	Unbalanced JS	7	2084
TP	4	Unbalanced JS	7	593
FN	4	Unbalanced JS	8	2625
FP	4	Unbalanced JS	8	189
TN	4	Unbalanced JS	8	1968
TP	4	Unbalanced JS	8	1008
FN	4	Unbalanced JS	9	2468
FP	4	Unbalanced JS	9	75
TN	4	Unbalanced JS	9	2080
TP	4	Unbalanced JS	9	1177
FN	4	Unbalanced JS	10	1984
FP	4	Unbalanced JS	10	134
TN	4	Unbalanced JS	10	2022
TP	4	Unbalanced JS	10	1649
FN	4	Unbalanced JS	11	3363
FP	4	Unbalanced JS	11	0
TN	4	Unbalanced JS	11	2155
TP	4	Unbalanced JS	11	284
FN	4	Unbalanced JS	12	3431
FP	4	Unbalanced JS	12	2
TN	4	Unbalanced JS	12	2157
TP	4	Unbalanced JS	12	203
FN	4	Unbalanced JS	13	3547
FP	4	Unbalanced JS	13	4
TN	4	Unbalanced JS	13	2156
TP	4	Unbalanced JS	13	102
FN	4	Unbalanced JS	14	3137
FP	4	Unbalanced JS	14	3
TN	4	Unbalanced JS	14	2155
TP	4	Unbalanced JS	14	499
FN	4	Unbalanced JS	15	2898
FP	4	Unbalanced JS	15	10
TN	4	Unbalanced JS	15	2145
TP	4	Unbalanced JS	15	752
FN	4	Unbalanced JS	16	3426
FP	4	Unbalanced JS	16	5
TN	4	Unbalanced JS	16	2151
TP	4	Unbalanced JS	16	209
FN	4	Unbalanced JS	17	2576
FP	4	Unbalanced JS	17	47
TN	4	Unbalanced JS	17	2110
TP	4	Unbalanced JS	17	1073
FN	4	Unbalanced JS	18	3100
FP	4	Unbalanced JS	18	9
TN	4	Unbalanced JS	18	2153
TP	4	Unbalanced JS	18	539
FN	4	Unbalanced JS	19	2801
FP	4	Unbalanced JS	19	25
TN	4	Unbalanced JS	19	2136
TP	4	Unbalanced JS	19	850
FN	4	Unbalanced JS	20	2280
FP	4	Unbalanced JS	20	272
TN	4	Unbalanced JS	20	1863
TP	4	Unbalanced JS	20	1334
FN	4	Unbalanced JS	21	2469
FP	4	Unbalanced JS	21	536
TN	4	Unbalanced JS	21	1624
TP	4	Unbalanced JS	21	1176
FN	4	Unbalanced JS	22	3428
FP	4	Unbalanced JS	22	1
TN	4	Unbalanced JS	22	2155
TP	4	Unbalanced JS	22	202
FN	4	Unbalanced JS	23	3088
FP	4	Unbalanced JS	23	5
TN	4	Unbalanced JS	23	2148
TP	4	Unbalanced JS	23	555
FN	4	Unbalanced JS	24	3353
FP	4	Unbalanced JS	24	34
TN	4	Unbalanced JS	24	2125
TP	4	Unbalanced JS	24	290
FN	4	Unbalanced JS	25	2391
FP	4	Unbalanced JS	25	309
TN	4	Unbalanced JS	25	1843
TP	4	Unbalanced JS	25	1253
FN	4	Unbalanced JS	26	3403
FP	4	Unbalanced JS	26	1
TN	4	Unbalanced JS	26	2157
TP	4	Unbalanced JS	26	242
FN	4	Unbalanced JS	27	2634
FP	4	Unbalanced JS	27	46
TN	4	Unbalanced JS	27	2112
TP	4	Unbalanced JS	27	1014
FN	4	Unbalanced JS	28	3036
FP	4	Unbalanced JS	28	10
TN	4	Unbalanced JS	28	2149
TP	4	Unbalanced JS	28	597
FN	4	Unbalanced JS	29	3418
FP	4	Unbalanced JS	29	2
TN	4	Unbalanced JS	29	2158
TP	4	Unbalanced JS	29	230
FN	4	Unbalanced JS	30	3004
FP	4	Unbalanced JS	30	29
TN	4	Unbalanced JS	30	2128
TP	4	Unbalanced JS	30	622
FN	4	Unbalanced OLS	1	2549
FP	4	Unbalanced OLS	1	31
TN	4	Unbalanced OLS	1	2134
TP	4	Unbalanced OLS	1	1101
FN	4	Unbalanced OLS	2	3300
FP	4	Unbalanced OLS	2	69
TN	4	Unbalanced OLS	2	2084
TP	4	Unbalanced OLS	2	335
FN	4	Unbalanced OLS	3	3178
FP	4	Unbalanced OLS	3	2
TN	4	Unbalanced OLS	3	2162
TP	4	Unbalanced OLS	3	472
FN	4	Unbalanced OLS	4	3358
FP	4	Unbalanced OLS	4	2
TN	4	Unbalanced OLS	4	2155
TP	4	Unbalanced OLS	4	276
FN	4	Unbalanced OLS	5	3335
FP	4	Unbalanced OLS	5	0
TN	4	Unbalanced OLS	5	2160
TP	4	Unbalanced OLS	5	313
FN	4	Unbalanced OLS	6	3539
FP	4	Unbalanced OLS	6	0
TN	4	Unbalanced OLS	6	2149
TP	4	Unbalanced OLS	6	93
FN	4	Unbalanced OLS	7	3331
FP	4	Unbalanced OLS	7	10
TN	4	Unbalanced OLS	7	2143
TP	4	Unbalanced OLS	7	315
FN	4	Unbalanced OLS	8	2921
FP	4	Unbalanced OLS	8	96
TN	4	Unbalanced OLS	8	2061
TP	4	Unbalanced OLS	8	712
FN	4	Unbalanced OLS	9	2755
FP	4	Unbalanced OLS	9	25
TN	4	Unbalanced OLS	9	2130
TP	4	Unbalanced OLS	9	890
FN	4	Unbalanced OLS	10	2255
FP	4	Unbalanced OLS	10	80
TN	4	Unbalanced OLS	10	2076
TP	4	Unbalanced OLS	10	1378
FN	4	Unbalanced OLS	11	3528
FP	4	Unbalanced OLS	11	0
TN	4	Unbalanced OLS	11	2155
TP	4	Unbalanced OLS	11	119
FN	4	Unbalanced OLS	12	3516
FP	4	Unbalanced OLS	12	0
TN	4	Unbalanced OLS	12	2159
TP	4	Unbalanced OLS	12	118
FN	4	Unbalanced OLS	13	3609
FP	4	Unbalanced OLS	13	1
TN	4	Unbalanced OLS	13	2159
TP	4	Unbalanced OLS	13	40
FN	4	Unbalanced OLS	14	3342
FP	4	Unbalanced OLS	14	1
TN	4	Unbalanced OLS	14	2157
TP	4	Unbalanced OLS	14	294
FN	4	Unbalanced OLS	15	3143
FP	4	Unbalanced OLS	15	2
TN	4	Unbalanced OLS	15	2153
TP	4	Unbalanced OLS	15	507
FN	4	Unbalanced OLS	16	3530
FP	4	Unbalanced OLS	16	5
TN	4	Unbalanced OLS	16	2151
TP	4	Unbalanced OLS	16	105
FN	4	Unbalanced OLS	17	2870
FP	4	Unbalanced OLS	17	16
TN	4	Unbalanced OLS	17	2141
TP	4	Unbalanced OLS	17	779
FN	4	Unbalanced OLS	18	3339
FP	4	Unbalanced OLS	18	0
TN	4	Unbalanced OLS	18	2162
TP	4	Unbalanced OLS	18	300
FN	4	Unbalanced OLS	19	3040
FP	4	Unbalanced OLS	19	7
TN	4	Unbalanced OLS	19	2154
TP	4	Unbalanced OLS	19	611
FN	4	Unbalanced OLS	20	2624
FP	4	Unbalanced OLS	20	134
TN	4	Unbalanced OLS	20	2001
TP	4	Unbalanced OLS	20	990
FN	4	Unbalanced OLS	21	2740
FP	4	Unbalanced OLS	21	352
TN	4	Unbalanced OLS	21	1808
TP	4	Unbalanced OLS	21	905
FN	4	Unbalanced OLS	22	3512
FP	4	Unbalanced OLS	22	0
TN	4	Unbalanced OLS	22	2156
TP	4	Unbalanced OLS	22	118
FN	4	Unbalanced OLS	23	3308
FP	4	Unbalanced OLS	23	3
TN	4	Unbalanced OLS	23	2150
TP	4	Unbalanced OLS	23	335
FN	4	Unbalanced OLS	24	3505
FP	4	Unbalanced OLS	24	2
TN	4	Unbalanced OLS	24	2157
TP	4	Unbalanced OLS	24	138
FN	4	Unbalanced OLS	25	2711
FP	4	Unbalanced OLS	25	170
TN	4	Unbalanced OLS	25	1982
TP	4	Unbalanced OLS	25	933
FN	4	Unbalanced OLS	26	3514
FP	4	Unbalanced OLS	26	0
TN	4	Unbalanced OLS	26	2158
TP	4	Unbalanced OLS	26	131
FN	4	Unbalanced OLS	27	2925
FP	4	Unbalanced OLS	27	13
TN	4	Unbalanced OLS	27	2145
TP	4	Unbalanced OLS	27	723
FN	4	Unbalanced OLS	28	3281
FP	4	Unbalanced OLS	28	2
TN	4	Unbalanced OLS	28	2157
TP	4	Unbalanced OLS	28	352
FN	4	Unbalanced OLS	29	3581
FP	4	Unbalanced OLS	29	0
TN	4	Unbalanced OLS	29	2160
