Total	Test_Condition	PPV	TPR	q
4	Balanced		1.8267345644308e-05	0
4	Unbalanced JS		7.32249940710793e-05	0
4	Unbalanced OLS		1.83200512961436e-05	0
6	Balanced		1.82648415536254e-05	0
6	Unbalanced JS		9.19033177097693e-06	0
6	Unbalanced OLS		9.19033177097693e-06	0
8	Balanced		1.82848784055586e-05	0
8	Unbalanced JS		9.20556015833563e-06	0
8	Unbalanced OLS		9.20556015833563e-06	0
10	Balanced		0.000155368916259472	0
10	Unbalanced JS		9.18779860345461e-06	0
10	Unbalanced OLS		9.18779860345461e-06	0
12	Balanced		0.000137116560836306	0
12	Unbalanced JS		0	0
12	Unbalanced OLS		0	0
14	Balanced		0.000201113628394127	0
14	Unbalanced JS		0	0
14	Unbalanced OLS		0	0
16	Balanced		0.000292415383160911	0
16	Unbalanced JS		0	0
16	Unbalanced OLS		0	0
18	Balanced		0.000484161189141025	0
18	Unbalanced JS		0	0
18	Unbalanced OLS		0	0
20	Balanced		0.000411049115877797	0
20	Unbalanced JS		0	0
20	Unbalanced OLS		0	0
22	Balanced		0.000538955537795913	0
22	Unbalanced JS		0	0
22	Unbalanced OLS		0	0
24	Balanced	1	0.000593752570644549	0
24	Unbalanced JS		9.19540229885057e-06	0
24	Unbalanced OLS		9.19540229885057e-06	0
4	Balanced	0.962567387856147	0.162661237121444	0.01
4	Unbalanced JS	0.942084521709608	0.216884331980201	0.01
4	Unbalanced OLS	0.954853311690374	0.162960006875925	0.01
6	Balanced	0.9828931595626	0.221218844083502	0.01
6	Unbalanced JS	0.955428928524778	0.176436943168138	0.01
6	Unbalanced OLS	0.962221545114084	0.142893572559791	0.01
8	Balanced	0.988152780441586	0.251420769280535	0.01
8	Unbalanced JS	0.958648439628177	0.159958651419785	0.01
8	Unbalanced OLS	0.962752891304127	0.136008289933936	0.01
10	Balanced	0.985361259036858	0.366398426085354	0.01
10	Unbalanced JS	0.957249579291823	0.162601679632293	0.01
10	Unbalanced OLS	0.960538597973818	0.14526297842539	0.01
12	Balanced	0.985776336937422	0.331524265628975	0.01
12	Unbalanced JS	0.930446439765566	0.172957004335772	0.01
12	Unbalanced OLS	0.935309204761207	0.15629137297669	0.01
14	Balanced	0.989876417319076	0.391538499947257	0.01
14	Unbalanced JS	0.951677541636543	0.173183578033965	0.01
14	Unbalanced OLS	0.954321713123199	0.160119490480309	0.01
16	Balanced	0.990544537620415	0.435289001732007	0.01
16	Unbalanced JS	0.954987421331168	0.130943353056297	0.01
16	Unbalanced OLS	0.957599286427221	0.120537077318649	0.01
18	Balanced	0.978373943140208	0.495056036280578	0.01
18	Unbalanced JS	0.957085485369453	0.146939344793068	0.01
18	Unbalanced OLS	0.959997809984144	0.137772939713637	0.01
20	Balanced	0.990371135299055	0.490194008170882	0.01
20	Unbalanced JS	0.97003314722351	0.11721206284593	0.01
20	Unbalanced OLS	0.972372176911497	0.110250825895382	0.01
22	Balanced	0.988507667688449	0.531860390740516	0.01
