Total	Test_Condition	TPR	FPR	q
4	Balanced	1.8267345644308e-05	0	0
4	Unbalanced JS	7.32249940710793e-05	0	0
4	Unbalanced OLS	1.83200512961436e-05	0	0
6	Balanced	1.82648415536254e-05	0	0
6	Unbalanced JS	9.19033177097693e-06	0	0
6	Unbalanced OLS	9.19033177097693e-06	0	0
8	Balanced	1.82848784055586e-05	0	0
8	Unbalanced JS	9.20556015833563e-06	0	0
8	Unbalanced OLS	9.20556015833563e-06	0	0
10	Balanced	0.000155368916259472	0	0
10	Unbalanced JS	9.18779860345461e-06	0	0
10	Unbalanced OLS	9.18779860345461e-06	0	0
12	Balanced	0.000137116560836306	0	0
12	Unbalanced JS	0	0	0
12	Unbalanced OLS	0	0	0
14	Balanced	0.000201113628394127	0	0
14	Unbalanced JS	0	0	0
14	Unbalanced OLS	0	0	0
16	Balanced	0.000292415383160911	0	0
16	Unbalanced JS	0	0	0
16	Unbalanced OLS	0	0	0
18	Balanced	0.000484161189141025	0	0
18	Unbalanced JS	0	0	0
18	Unbalanced OLS	0	0	0
20	Balanced	0.000411049115877797	0	0
20	Unbalanced JS	0	0	0
20	Unbalanced OLS	0	0	0
22	Balanced	0.000538955537795913	0	0
22	Unbalanced JS	0	0	0
22	Unbalanced OLS	0	0	0
24	Balanced	0.000593752570644549	0	0
24	Unbalanced JS	9.19540229885057e-06	0	0
24	Unbalanced OLS	9.19540229885057e-06	0	0
4	Balanced	0.162661237121444	0.0243608241946733	0.01
4	Unbalanced JS	0.216884331980201	0.0357930359823963	0.01
4	Unbalanced OLS	0.162960006875925	0.021099430200382	0.01
6	Balanced	0.221218844083502	0.00953457034667116	0.01
6	Unbalanced JS	0.176436943168138	0.0268461510016159	0.01
6	Unbalanced OLS	0.142893572559791	0.0191450758929057	0.01
8	Balanced	0.251420769280535	0.00651959120015533	0.01
8	Unbalanced JS	0.159958651419785	0.0338274754484822	0.01
8	Unbalanced OLS	0.136008289933936	0.0295607859910605	0.01
10	Balanced	0.366398426085353	0.0139092421012484	0.01
10	Unbalanced JS	0.162601679632293	0.0400998529156448	0.01
10	Unbalanced OLS	0.14526297842539	0.0358548489261377	0.01
12	Balanced	0.331524265628975	0.0128478458692367	0.01
12	Unbalanced JS	0.172957004335772	0.0505046043983891	0.01
12	Unbalanced OLS	0.156291372976691	0.0444198656328484	0.01
14	Balanced	0.391538499947257	0.00865480320936074	0.01
14	Unbalanced JS	0.173183578033965	0.0395351939852825	0.01
14	Unbalanced OLS	0.160119490480309	0.0359699125080144	0.01
16	Balanced	0.435289001732007	0.00885139073222374	0.01
16	Unbalanced JS	0.130943353056297	0.0227996211183475	0.01
16	Unbalanced OLS	0.120537077318649	0.0202505042821678	0.01
18	Balanced	0.495056036280578	0.0236273442772803	0.01
18	Unbalanced JS	0.146939344793068	0.0310155373572447	0.01
18	Unbalanced OLS	0.137772939713637	0.0292094394264975	0.01
20	Balanced	0.490194008170882	0.00960266484718819	0.01
20	Unbalanced JS	0.11721206284593	0.0181289930707192	0.01
20	Unbalanced OLS	0.110250825895382	0.0166306336329994	0.01
22	Balanced	0.531860390740516	0.0123271103403082	0.01
22	Unbalanced JS	0.120460734819658	0.0144402176112574	0.01
22	Unbalanced OLS	0.113519519918012	0.0133300246489286	0.01
24	Balanced	0.571585267520808	0.0144950229826408	0.01
