chr	start	end	strand	gene_id	transcript_id	gene_name	gene_biotype	transcript_biotype
IV	1802	2953	+	YDL248W	YDL248W_mRNA	YDL248W	protein_coding	protein_coding
IV	3762	3836	+	YDL247W-A	YDL247W-A_mRNA	YDL247W-A	protein_coding	protein_coding
IV	5985	7814	+	YDL247W	YDL247W_mRNA	YDL247W	protein_coding	protein_coding
IV	8683	9756	-	YDL246C	YDL246C_mRNA	YDL246C	protein_coding	protein_coding
IV	11657	13360	-	YDL245C	YDL245C_mRNA	YDL245C	protein_coding	protein_coding
IV	16204	17226	+	YDL244W	YDL244W_mRNA	YDL244W	protein_coding	protein_coding
IV	17577	18566	-	YDL243C	YDL243C_mRNA	YDL243C	protein_coding	protein_coding
IV	18959	19312	+	YDL242W	YDL242W_mRNA	YDL242W	protein_coding	protein_coding
IV	20635	21006	+	YDL241W	YDL241W_mRNA	YDL241W	protein_coding	protein_coding
IV	22471	22608	-	YDL240C-A	YDL240C-A_mRNA	YDL240C-A	protein_coding	protein_coding
IV	22823	25876	+	YDL240W	YDL240W_mRNA	YDL240W	protein_coding	protein_coding
IV	26403	28775	-	YDL239C	YDL239C_mRNA	YDL239C	protein_coding	protein_coding
IV	28985	30454	-	YDL238C	YDL238C_mRNA	YDL238C	protein_coding	protein_coding
IV	30657	31829	+	YDL237W	YDL237W_mRNA	AIM6	protein_coding	protein_coding
IV	32296	33234	+	YDL236W	YDL236W_mRNA	YDL236W	protein_coding	protein_coding
IV	33415	33918	-	YDL235C	YDL235C_mRNA	YDL235C	protein_coding	protein_coding
IV	34237	36477	-	YDL234C	YDL234C_mRNA	YDL234C	protein_coding	protein_coding
IV	36797	38173	+	YDL233W	YDL233W_mRNA	YDL233W	protein_coding	protein_coding
IV	38487	38597	+	YDL232W	YDL232W_mRNA	YDL232W	protein_coding	protein_coding
IV	38867	42244	-	YDL231C	YDL231C_mRNA	YDL231C	protein_coding	protein_coding
IV	42700	43707	+	YDL230W	YDL230W_mRNA	YDL230W	protein_coding	protein_coding
IV	44065	45906	+	YDL229W	YDL229W_mRNA	SSB1	protein_coding	protein_coding
IV	45277	45918	-	YDL228C	YDL228C_mRNA	YDL228C	protein_coding	protein_coding
IV	46271	48031	-	YDL227C	YDL227C_mRNA	YDL227C	protein_coding	protein_coding
IV	51115	52173	-	YDL226C	YDL226C_mRNA	YDL226C	protein_coding	protein_coding
IV	52445	54100	+	YDL225W	YDL225W_mRNA	SHS1	protein_coding	protein_coding
IV	54397	56346	-	YDL224C	YDL224C_mRNA	YDL224C	protein_coding	protein_coding
