target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	160	22.4061
YDL245C_mRNA	1704	1405	92.5079	5.59677
YBR232C_mRNA	360	61	12.538	17.4716
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	103	5.46183
YGR014W_mRNA	3921	3622	910	21.3564
YKL119C_mRNA	648	349	136	33.1244
YPR031W_mRNA	2247	1948	97	4.2327
YKL066W_mRNA	444	145	34	19.9318
YJL076W_mRNA	3570	3271	956.735	24.8626
YPL174C_mRNA	2607	2308	171	6.29789
YIL003W_mRNA	882	583	137	19.975
YML066C_mRNA	1110	811	76	7.96576
YMR129W_mRNA	4014	3715	579	13.2481
YBR140C_mRNA	9279	8980	927	8.77482
YGR242W_mRNA	309	13.0646	1	6.50636
YKR047W_mRNA	306	11.3524	61	456.75
YKL029C_mRNA	2010	1711	1402.88	69.6953
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	3397	321.554
YDL235C_mRNA	504	205	125	51.8311
YER091C_mRNA	2304	2005	4247	180.054
YMR121C_mRNA	615	316	346.613	93.2378
YDR356W_mRNA	2835	2536	207	6.93834
YDR337W_mRNA	861	562	261	39.4765
YKL008C_mRNA	1257	958	719	63.7967
YER055C_mRNA	894	595	2946	420.872
YFR004W_mRNA	921	622	1465	200.208
YDR108W_mRNA	2097	1798	238	11.2518
YDL200C_mRNA	567	268	68	21.5679
YJR134C_mRNA	2124	1825	690	32.1381
YMR135C_mRNA	1368	1069	1236	98.2823
YGR012W_mRNA	1182	883	287	27.6284
YNL244C_mRNA	327	28.091	599	1812.57
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	2569	148.452
YBL101C_mRNA	3354	3055	1159	32.2483
YLL040C_mRNA	9435	9136	1314	12.2257
YDR181C_mRNA	1446	1147	211	15.637
YML116W-A_mRNA	303	9.89396	7	60.1399
YPR096C_mRNA	303	9.89396	0	0
YJL210W_mRNA	816	517	397	65.2731
YLR216C_mRNA	1116	817	1741.6	181.201
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	139	12.3722
YNL079C_mRNA	600	301	2108	595.304
YBL058W_mRNA	1272	973	1471	128.509
YJR127C_mRNA	4143	3844	1185	26.2041
YLR088W_mRNA	1845	1546	365	20.0686
YKL128C_mRNA	888	589	636	91.786
YLR100W_mRNA	1044	745	988	112.729
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	903	38.8057
YOR292C_mRNA	930	631	280	37.7193
YNL219C_mRNA	1668	1369	503	31.232
YPR179C_mRNA	1968	1669	187	9.52401
YOL062C_mRNA	1476	1177	1067	77.0589
YDR540C_mRNA	540	241	24	8.46504
YER087W_mRNA	1731	1432	206.704	12.2699
YOL140W_mRNA	1272	973	109	9.52244
YFL009W_mRNA	2340	2041	640.782	26.6871
YLL004W_mRNA	1851	1552	75	4.10775
YKL057C_mRNA	3114	2815	459	13.8602
YPL130W_mRNA	672	373	3	0.683671
YDL046W_mRNA	522	223	754	287.409
YPL072W_mRNA	1500	1201	152.445	10.7896
YPR150W_mRNA	522	223	7.32873	2.79356
YER180C_mRNA	804	505	155	26.09
YGL157W_mRNA	1044	745	819	93.4463
YDR252W_mRNA	450	151	23	12.9475
YLR037C_mRNA	375	76	33	36.9092
YMR307W_mRNA	1680	1381	9834	605.301
YIL116W_mRNA	1158	859	590	58.3839
YAL040C_mRNA	1743	1444	415	24.4296
YGL232W_mRNA	870	571	297	44.2135
YHR181W_mRNA	687	388	268	58.7135
YBR051W_mRNA	351	52	7	11.4427
YPL259C_mRNA	1428	1129	418	31.4715
YDR461C-A_mRNA	243	2.22021	0	0
YJL087C_mRNA	2484	2185	163	6.34119
YIR005W_mRNA	447	148	21	12.0612
YDL080C_mRNA	1830	1531	365	20.2653
YJL209W_mRNA	1965	1666	153	7.8064
YLR286C_mRNA	1689	1390	8418	514.788
YEL044W_mRNA	501	202	339	142.654
YOR371C_mRNA	2694	2395	204	7.24034
YLR071C_mRNA	3249	2950	461	13.2835
YBL050W_mRNA	879	580	682	99.9519
YOR025W_mRNA	1344	1045	297	24.1588
YHL001W_mRNA	417	118	1389.5	1000.94
YJR042W_mRNA	2235	1936	635	27.8807
YNL185C_mRNA	477	178	147	70.1992
YBR129C_mRNA	987	688	249	30.7642
YKL145W_mRNA	1404	1105	3200	246.163
YIL015W_mRNA	1764	1465	285	16.5364
YPL018W_mRNA	1110	811	75	7.86095
YLR160C_mRNA	1089	790	760.5	81.8289
YIL047C_mRNA	2709	2410	842.071	29.7007
YBL039C-A_mRNA	84	1.12925	0	0
