chr	start	end	strand	gene_id	gene_name	gene_biotype
IV	1802	2953	+	YDL248W	YDL248W	protein_coding
IV	3762	3836	+	YDL247W-A	YDL247W-A	protein_coding
IV	5985	7814	+	YDL247W	YDL247W	protein_coding
IV	8683	9756	-	YDL246C	YDL246C	protein_coding
IV	11657	13360	-	YDL245C	YDL245C	protein_coding
IV	16204	17226	+	YDL244W	YDL244W	protein_coding
IV	17577	18566	-	YDL243C	YDL243C	protein_coding
IV	18959	19312	+	YDL242W	YDL242W	protein_coding
IV	20635	21006	+	YDL241W	YDL241W	protein_coding
IV	22471	22608	-	YDL240C-A	YDL240C-A	protein_coding
IV	22823	25876	+	YDL240W	YDL240W	protein_coding
IV	26403	28775	-	YDL239C	YDL239C	protein_coding
IV	28985	30454	-	YDL238C	YDL238C	protein_coding
IV	30657	31829	+	YDL237W	AIM6	protein_coding
IV	32296	33234	+	YDL236W	YDL236W	protein_coding
IV	33415	33918	-	YDL235C	YDL235C	protein_coding
IV	34237	36477	-	YDL234C	YDL234C	protein_coding
IV	36797	38173	+	YDL233W	YDL233W	protein_coding
IV	38487	38597	+	YDL232W	YDL232W	protein_coding
IV	38867	42244	-	YDL231C	YDL231C	protein_coding
IV	42700	43707	+	YDL230W	YDL230W	protein_coding
IV	44065	45906	+	YDL229W	SSB1	protein_coding
IV	45277	45918	-	YDL228C	YDL228C	protein_coding
IV	46271	48031	-	YDL227C	YDL227C	protein_coding
IV	51115	52173	-	YDL226C	YDL226C	protein_coding
IV	52445	54100	+	YDL225W	SHS1	protein_coding
IV	54397	56346	-	YDL224C	YDL224C	protein_coding
IV	57265	60405	-	YDL223C	YDL223C	protein_coding
IV	60872	61801	-	YDL222C	YDL222C	protein_coding
IV	62011	62562	+	YDL221W	YDL221W	protein_coding
IV	62244	65018	-	YDL220C	CDC13	protein_coding
IV	65242	65765	+	YDL219W	DTD1	protein_coding
IV	66493	67446	+	YDL218W	YDL218W	protein_coding
IV	67983	68606	-	YDL217C	YDL217C	protein_coding
IV	68997	70319	-	YDL216C	RRI1	protein_coding
IV	70640	73918	-	YDL215C	GDH2	protein_coding
IV	74446	76545	-	YDL214C	YDL214C	protein_coding
IV	77289	77966	-	YDL213C	YDL213C	protein_coding
IV	78426	79058	+	YDL212W	SHR3	protein_coding
