target_id	length	eff_length	est_counts	tpm
YBR024W_mRNA	906	607	159	18.6299
YDL245C_mRNA	1704	1405	110.808	5.60915
YBR232C_mRNA	360	61	24.5701	28.647
YDR320W-B_mRNA	138	1.24372	0	0
YBR021W_mRNA	1902	1603	137	6.07841
YGR014W_mRNA	3921	3622	872	17.1226
YKL119C_mRNA	648	349	161	32.8098
YPR031W_mRNA	2247	1948	135	4.92887
YKL066W_mRNA	444	145	44	21.5818
YJL076W_mRNA	3570	3271	1175.13	25.5511
YPL174C_mRNA	2607	2308	251	7.73465
YIL003W_mRNA	882	583	151	18.4209
YML066C_mRNA	1110	811	129	11.3128
YMR129W_mRNA	4014	3715	674	12.9034
YBR140C_mRNA	9279	8980	1064	8.42691
YGR242W_mRNA	309	13.0646	0	0
YKR047W_mRNA	306	11.3524	81	507.46
YKL029C_mRNA	2010	1711	1341.78	55.7743
YLR154C-G_mRNA	150	1.28333	0	0
YPL028W_mRNA	1197	898	4301	340.64
YDL235C_mRNA	504	205	177	61.4076
YER091C_mRNA	2304	2005	6160	218.509
YMR121C_mRNA	615	316	637.105	143.393
YDR356W_mRNA	2835	2536	311	8.72196
YDR337W_mRNA	861	562	327	41.3823
YKL008C_mRNA	1257	958	681	50.5574
YER055C_mRNA	894	595	1600	191.252
YFR004W_mRNA	921	622	1815	207.534
YDR108W_mRNA	2097	1798	277	10.957
YDL200C_mRNA	567	268	119	31.5802
YJR134C_mRNA	2124	1825	1060	41.3091
YMR135C_mRNA	1368	1069	1514	100.728
YGR012W_mRNA	1182	883	474	38.1787
YNL244C_mRNA	327	28.091	818	2071.05
YCR024C-A_mRNA	123	1.20308	0	0
YOR027W_mRNA	1770	1471	3014	145.725
YBL101C_mRNA	3354	3055	824	19.1831
YLL040C_mRNA	9435	9136	1436	11.179
YDR181C_mRNA	1446	1147	345	21.3924
YML116W-A_mRNA	303	9.89396	15	107.826
YPR096C_mRNA	303	9.89396	0	0
YJL210W_mRNA	816	517	678	93.27
YLR216C_mRNA	1116	817	1641.44	142.892
YGL118C_mRNA	438	139	0	0
YMR021C_mRNA	1254	955	208	15.4904
YNL079C_mRNA	600	301	3358	793.446
YBL058W_mRNA	1272	973	1551	113.371
YJR127C_mRNA	4143	3844	1762	32.6006
YLR088W_mRNA	1845	1546	440	20.2417
YKL128C_mRNA	888	589	888	107.226
YLR100W_mRNA	1044	745	1272	121.432
YKL106C-A_mRNA	120	1.19594	0	0
YBR080C_mRNA	2277	1978	1015	36.4958
YOR292C_mRNA	930	631	287	32.3486
YNL219C_mRNA	1668	1369	685	35.5869
YPR179C_mRNA	1968	1669	344	14.659
YOL062C_mRNA	1476	1177	1092	65.9856
YDR540C_mRNA	540	241	24	7.08267
YER087W_mRNA	1731	1432	179.205	8.90043
YOL140W_mRNA	1272	973	159	11.6222
YFL009W_mRNA	2340	2041	739.498	25.769
YLL004W_mRNA	1851	1552	94	4.30764
YKL057C_mRNA	3114	2815	452	11.4199
YPL130W_mRNA	672	373	11	2.09743
YDL046W_mRNA	522	223	894	285.125
YPL072W_mRNA	1500	1201	162.263	9.60905
YPR150W_mRNA	522	223	21.252	6.77794
YER180C_mRNA	804	505	180	25.3504
YGL157W_mRNA	1044	745	700	66.8259
YDR252W_mRNA	450	151	31	14.6012
YLR037C_mRNA	375	76	57	53.3414
YMR307W_mRNA	1680	1381	8838	455.159
YIL116W_mRNA	1158	859	808	66.8992
YAL040C_mRNA	1743	1444	709	34.9206
YGL232W_mRNA	870	571	316	39.3599
YHR181W_mRNA	687	388	411	75.3378
YBR051W_mRNA	351	52	6	8.20636
YPL259C_mRNA	1428	1129	501	31.5607
YDR461C-A_mRNA	243	2.22021	0	0
